iCorsi,Points/60,iCorsi/60,IPP,G/60,IAP,GP,Player Name,#
134,3.80,16.97,61.2,2.28,24.5,164,"HARTNELL, SCOTT",9
172,5.34,22.42,66.1,2.22,38.7,158,"VANEK, THOMAS",94
78,3.42,14.05,46.3,1.80,22.0,161,"BROUWER, TROY",23
125,4.53,21.78,66.7,2.44,30.8,142,"STAFFORD, DREW",32
150,4.00,21.43,57.1,2.71,18.4,153,"FRANZEN, JOHAN",16
143,3.75,19.84,73.0,1.39,45.9,145,"SKINNER, JEFF",116
159,5.21,20.21,67.2,1.65,45.9,161,"JOKINEN, OLLI",102
92,4.52,13.40,62.0,1.75,38.0,139,"TOEWS, JONATHAN",34
112,4.40,17.00,60.4,1.67,37.5,164,"BACKES, DAVID",48
88,2.14,17.15,45.8,1.36,16.7,150,"CLUTTERBUCK, CAL",84
121,4.38,18.91,60.9,0.94,47.8,126,"KOIVU, MIKKO",156
218,4.03,23.11,67.9,1.80,37.5,164,"IGINLA, JAROME",78
84,2.89,13.47,40.9,0.48,34.1,154,"KREJCI, DAVID",164
114,2.99,21.29,51.6,1.68,22.6,144,"BOOTH, DAVID",109
65,3.51,13.41,53.1,0.62,43.8,149,"KOIVU, SAKU",163
63,1.28,11.53,35.0,1.28,0.0,146,"PENNER, DUSTIN",29
181,5.34,20.57,66.2,2.95,29.6,162,"PERRY, COREY",24
90,3.87,14.51,75.0,1.29,50.0,155,"MACARTHUR, CLARKE",58
56,3.24,12.95,66.7,1.39,38.1,150,"BAILEY, JOSH",83
72,3.31,14.92,64.0,1.24,40.0,155,"SEGUIN, TYLER",81
158,4.11,24.05,65.9,1.83,36.6,155,"WILLIAMS, JUSTIN",66
52,4.32,9.35,68.6,1.26,48.6,124,"DESHARNAIS, DAVID",27
146,4.98,21.39,72.3,1.76,46.8,146,"HOSSA, MARIAN",101
71,2.43,14.41,44.4,1.42,18.5,153,"KOSTITSYN, ANDREI",21
251,6.55,29.90,78.6,2.62,47.1,155,"SELANNE, TEEMU",86
204,4.70,23.39,50.6,2.06,28.4,159,"KESLER, RYAN",71
71,3.51,14.66,60.7,1.24,39.3,150,"WILSON, COLIN",82
157,3.21,26.53,59.4,0.68,46.9,160,"STOLL, JARRET",167
125,3.68,19.99,71.9,2.24,28.1,161,"RYDER, MICHAEL",22
68,3.99,13.57,69.0,1.00,51.7,161,"WHEELER, BLAKE",89
147,3.49,20.50,61.0,1.39,36.6,147,"BRIERE, DANIEL",112
86,5.85,13.98,78.3,1.46,58.7,126,"DATSYUK, PAVEL",14
