Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
David Chester,Gre,174,22,49,16,0,5,63,0,0,20,40,0.282,0.36,0.46,0.819
Mario Martinez,Gre,149,16,43,8,0,4,49,0,0,9,37,0.289,0.333,0.423,0.756
Aneury Tavarez,Gre,236,28,57,13,5,4,52,10,4,13,72,0.242,0.286,0.39,0.676
Tim Roberson,Gre,85,6,28,7,1,2,28,0,0,1,18,0.329,0.333,0.506,0.839
Kevin Mager,Gre,18,4,5,2,0,1,5,0,0,3,4,0.278,0.381,0.556,0.937
Sean Coyle,Gre,10,2,2,1,0,1,4,0,0,1,2,0.2,0.273,0.6,0.873
Reed Gragnani,Gre,53,9,18,3,0,1,16,0,0,2,6,0.34,0.356,0.453,0.809
Kendrick Perkins,Gre,80,6,20,5,0,1,9,2,1,3,26,0.25,0.277,0.35,0.627
Keaton Briscoe,Gre,79,13,14,2,1,1,14,0,0,12,32,0.177,0.316,0.266,0.582
Nick Moore,Gre,35,2,6,1,0,1,7,1,1,6,21,0.171,0.293,0.286,0.578
Boss Moanaroa,Gre,137,15,26,6,1,1,26,0,0,23,53,0.19,0.301,0.27,0.571
Jose Vinicio,Gre,182,23,42,10,1,1,26,8,3,4,48,0.231,0.254,0.313,0.567
Alex Hassan,Gre,13,3,7,2,0,0,7,0,0,6,0,0.538,0.684,0.692,1.377
Mike Miller,Gre,18,2,5,3,0,0,2,0,1,3,1,0.278,0.409,0.444,0.854
Cody Koback,Gre,105,17,33,5,2,0,29,5,0,6,22,0.314,0.376,0.4,0.776
Mookie Betts,Gre,89,17,25,4,0,0,18,5,0,22,16,0.281,0.425,0.326,0.751
Drew Turocy,Gre,129,19,33,11,4,0,20,1,0,9,34,0.256,0.314,0.403,0.717
Jayson Hernandez,Gre,102,6,30,3,0,0,15,0,0,4,17,0.294,0.342,0.324,0.666
Jesus Loya,Gre,48,2,12,3,1,0,9,0,1,2,3,0.25,0.294,0.354,0.648
Jordan Weems,Gre,92,8,21,5,0,0,13,0,0,15,31,0.228,0.349,0.283,0.631
Bryan Johns,Gre,33,2,8,0,1,0,12,0,1,4,10,0.242,0.308,0.303,0.611
Felix Sanchez,Gre,49,8,10,2,0,0,6,2,0,5,20,0.204,0.322,0.245,0.567
Kevin Heller,Gre,47,2,9,2,1,0,8,0,0,3,10,0.191,0.269,0.277,0.546
Leonel Escobar,Gre,17,0,2,0,0,0,2,0,0,1,5,0.118,0.167,0.118,0.284
Dreily Guerrero,Gre,75,6,8,0,0,0,7,1,0,6,29,0.107,0.169,0.107,0.275
