TOV%,USG%,ORtg,TS%,Opp,Age,GS,AST%
0.0,16.3,129,.563,POR,21-181,0,12.1
25.4,21.6,78,.425,POR,21-185,0,24.1
 ,0.0, , ,DAL,21-263,0,0.0
25.0,27.7,86,.667,MIL,21-171,0,0.0
0.0,20.1,104,.347,PHI,21-298,0,0.0
23.3,28.1,101,.759,BOS,21-268,0,11.3
 ,0.0, , ,ATL,21-290,0,0.0
0.0,28.5,142,.643,NJN,21-262,0,0.0
0.0,8.2,202,1.000,MIL,21-176,0,0.0
0.0,22.0,138,.533,PHO,21-179,0,10.3
100.0,14.3,42, ,NYK,21-307,0,39.0
50.0,40.2,0,.000,NJN,21-146,0,0.0
100.0,43.9,0, ,PHI,21-172,0,0.0
 ,0.0, , ,ORL,21-161,0,0.0
0.0,15.3,124,.500,WSB,21-193,0,0.0
 ,0.0, , ,HOU,21-167,0,0.0
25.4,25.5,67,.340,DET,21-165,0,0.0
20.5,21.1,160,1.031,WSB,21-168,0,0.0
 ,0.0, , ,MIN,21-178,0,0.0
 ,0.0, , ,BOS,21-286,0,0.0
12.9,25.3,71,.296,MIA,21-160,0,0.0
25.0,15.7,63,.333,DET,21-309,0,11.0
0.0,27.5,200,1.000,CLE,21-258,0,0.0
 ,0.0, , ,ATL,21-301,0,0.0
0.0,14.7,139,.625,DEN,21-271,0,9.5
100.0,43.6,0, ,SEA,21-238,0,0.0
 ,0.0, , ,SAC,21-253,0,0.0
0.0,14.6,202,1.000,CHH,21-235,0,0.0
33.3,23.8,64,.500,DET,21-291,0,0.0
0.0,19.3,151,.750,PHI,21-228,0,0.0
0.0,14.6,149,.615,DET,21-273,0,0.0
0.0,10.5,67,.000,PHO,21-282,0,32.7
0.0,17.5,207,1.014,CLE,21-153,0,0.0
20.2,41.3,61,.254,CLE,21-158,0,0.0
 ,0.0, , ,SAS,21-207,0,0.0
25.0,19.2,98,.667,MIL,21-315,0,27.3
