USG%,ORB%,TRB%,GmSc,Tm,eFG%,DRtg
4.8,11.3,26.3,4.6,ATL,1.000,88
9.8,23.5,11.8,-0.2,ATL,.000,65
9.6,6.6,11.5,5.4,ATL,.286,97
19.6,9.9,16.7,3.1,ATL,.222,93
6.1,0.0,14.5,8.1,ATL,.625,86
6.9,0.0,19.3,1.3,ATL,.000,105
8.4,9.5,4.9,2.7,ATL,.500,105
12.3,0.0,10.4,1.4,ATL,.333,97
10.0,0.0,23.0,3.0,ATL,.375,93
22.1,0.0,9.8,-2.2,ATL,.000,107
8.0,0.0,10.8,10.1,ATL,.500,104
8.4,4.2,13.4,-0.2,ATL,.200,95
15.3,13.7,12.5,2.0,ATL,.333,107
6.8,0.0,14.3,3.8,ATL,.500,81
9.7,0.0,13.6,4.8,ATL,.500,93
0.0,0.0,9.0,2.0,ATL, ,119
0.0,0.0,0.0,0.2,ATL, ,98
10.6,4.7,12.1,6.2,ATL,.583,119
0.0,0.0,17.1,-0.2,ATL, ,111
10.7,0.0,6.5,2.6,ATL,.500,93
7.0,8.3,9.2,0.8,ATL,.500,117
7.5,0.0,0.0,-0.7,ATL,.000,99
7.6,0.0,17.4,3.2,ATL,.500,90
0.0,0.0,0.0,0.0,ATL, ,128
0.0,0.0,0.0,-0.8,ATL, ,104
21.6,6.1,8.7,1.7,ATL,.375,118
14.9,0.0,8.6,2.3,ATL,.417,96
10.1,0.0,6.1,1.4,ATL,.000,80
10.1,6.0,18.5,9.6,ATL,1.000,104
3.8,9.6,10.1,-1.0,ATL,.000,114
9.0,0.0,0.0,-0.4,ATL, ,94
5.3,0.0,13.4,-0.7,ATL,.000,106
