Pos,Sail No,Boat Name,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Pts
1st,1029, ,Wayne Fletcher,Deb Fletcher,Scaling Dam SC,1,-2,1,1,1,1,5
2nd,1135, ,Martin Cooper,Alex Oyston,Scaling Dam SC,3,5,2,7,-9,2,19
3rd,1186, ,David Exley,Nigel Hall,Leigh and Lowton SC,-6,6,5,2,2,4,19
4th,1014, ,Hamish Gledhill,Simon Dowse,West Riding SC,5,3,-6,3,3,6,20
5th,1395,Bang Bus,Paul Allen,Michael Allen,Leigh and Lowton SC,2,1,4,6,-10,9,22
6th,1216, ,Caroline Exley,Jude Allen,Leigh and Lowton SC,4,8,-11,9,6,3,30
7th,840, ,Peter Snowdon,Pippa Fletcher,Scaling Dam SC,-10,9,3,5,8,5,30
8th,725, ,Bill Kenyon,Ben Ditchburn,Budworth SC,7,4,-8,8,4,7,30
9th,1293,New Placebo,John Richardson,Alice Fisher,RWYC,-11,10,9,11,5,8,43
10th,929,Pendragon,John Whalley,Jenny Whalley,RWYC,8,11,7,-14,7,10,43
11th,1191,Louby Lou,Louise McKeand,Joe Hartigan,Leigh and Lowton SC,12,7,10,10,-13,12,51
12th,1345, ,Mike Adams,David Stedman,Bexhill SC,-14,12,12,4,14,11,53
13th,872,Breeze Block,Duncan Hodkinson,Ed Duncan,Glossop and District SC,9,13,13,12,11,-14,58
14th,509,Pink Pig,Darren Martin,Helen Jackson,RWYC,13,14,-15,13,12,13,65
15th,1001,-595,Richard Craig,Zena Martin,Bolton SC,16,15,14,16,-17,16,77
16th,1289,She's a Screamer,K Tickle,G Greenacre,Leigh and Lowton SC,15,16,16,(DNF),15,15,77
17th,945, ,Tim Craig,Simon Hulme,Elton SC,-17,17,17,15,16,17,82
18th,773,The Charltonator,John Charlton,Sarah Bailey,RWYC,(DNC),DNC,DNC,DNC,DNF,DSQ,95
