so,hbp,3b,Date,Opponent,bk,dp
4,0,0,"Apr 27, 2013",MISSOURI,0,0
1,0,1,"May 25, 2013",Arizona State,0,0
5,0,0,"May 08, 2013",SOUTH CAROLINA,0,0
7,2,0,"Mar 20, 2013",IOWA,0,0
3,3,0,"Mar 17, 2013",LSU,0,1
4,0,0,"Feb 23, 2013",Georgetown,0,1
3,1,0,"May 19, 2013",VIRGINIA TECH,0,1
8,0,0,"Feb 24, 2013",Howard,0,0
4,0,0,"Mar 12, 2013",NORTH CAROLINA,0,0
9,1,0,"Feb. 8, 2013",Western Michigan,0,0
4,2,0,"Apr 09, 2013",MARSHALL,0,0
5,0,1,"Mar 16, 2013",LSU,0,0
7,1,0,"Feb 24, 2013",USC Upstate,0,0
8,1,0,"Apr 13, 2013",FLORIDA,0,0
2,0,0,"Apr 17, 2013",MTSU,0,0
8,2,0,"Feb 16, 2013",UC-Riverside,1,1
7,1,0,"Mar 23, 2013",MISSISSIPPI STATE,0,0
1,0,0,"May 04, 2013",Alabama,0,1
8,1,0,"Feb. 9, 2013",Oregon State,0,0
7,1,0,"Mar 27, 2013",Lipscomb,0,1
5,1,0,"May 18, 2013",VIRGINIA TECH,0,0
3,0,0,"Feb 15, 2013",Washington,0,0
8,3,0,"Mar 03, 2013",Western Michigan,0,0
3,1,1,"Apr 03, 2013",Louisville,0,0
2,0,0,"Apr 20, 2013",Arkansas,0,0
6,0,0,"Apr 10, 2013",EKU,0,2
4,1,0,"Apr 26, 2013",MISSOURI,0,2
5,1,0,"Mar 23, 2013",MISSISSIPPI STATE,0,1
3,2,0,"Mar 29, 2013",TENNESSEE,0,1
