Year,Team,AVG,HR,RBI,AB,H,BB,SB
1999,Chunichi Dragons,0.284,16,52,461,131,50,4
2000,Chunichi Dragons,0.253,13,42,316,80,45,8
2001,Chunichi Dragons,0.251,15,56,375,94,56,8
2002,Chunichi Dragons,0.343,19,65,542,186,56,4
2003,Chunichi Dragons,0.313,34,96,528,165,78,10
2004,Chunichi Dragons,0.277,23,81,350,97,78,8
2005,Chunichi Dragons,0.328,28,103,515,169,48,13
2006,Chunichi Dragons,0.351,31,104,496,174,93,11
2007,Chunichi Dragons,0.294,13,48,269,79,69,5
2008,Chicago Cubs,0.257,10,58,501,129,81,12
2009,Chicago Cubs,0.259,11,54,499,129,93,6
2010,Chicago Cubs,0.263,13,44,358,94,64,7
2011,Chicago Cubs/Cleveland Indians,0.262,8,35,530,139,61,4
2012,Chicago White Sox,0.171,0,4,41,7,8,0
