Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 29,at San Jose State,"L, 24-0",1,1,2,-,-,1.0,-,-,-,-,-,-,-,-
Sep 5,at Arizona State,"L, 55-0",0,1,1,-,-,0.0,-,-,-,-,-,-,-,-
Sep 14,Southern Oregon,"W, 63-56",1,3,4,-,-,0.5,-,-,-,-,-,1,-,-
Sep 21,Southern Utah,"L, 24-21",2,0,2,1,2,1.0,-,-,-,-,-,-,-,-
Sep 28,at Weber State,"W, 31-3",1,2,3,-,-,0.0,-,-,-,-,-,-,-,-
Oct 5,Northern Colorado,"W, 37-21",0,2,2,-,-,0.0,-,-,-,-,-,-,-,-
Oct 12,#19 Northern Arizona,"L, 39-38",1,3,4,-,-,0.5,-,-,-,-,-,-,-,-
Oct 19,at North Dakota,"W, 31-7",1,1,2,-,-,1.0,-,-,-,-,-,-,-,-
Nov 2,#12 Montana,"L, 51-48",1,2,3,-,-,1.5,-,-,-,-,-,-,-,-
Nov 9,at Cal Poly,"L, 42-7",2,2,4,-,-,1.0,-,-,-,-,-,-,-,-
Nov 16,at Portland State,"W, 43-42",1,0,1,-,-,0.0,-,-,-,-,-,-,-,-
Nov 23,UC Davis,"L, 34-7",3,2,5,-,-,0.0,-,-,-,-,-,-,-,-
