Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 1,Alumni,"W, 8-0",-,-,-,-,-,-,-,-,-,-,-
Feb 4,Master's,"L, 5-0",2,0,0,-,-,-,0,-,1,-,-
Feb 7,Willamette,"L, 16-7",4,1,1,-,-,-,0,-,1,-,-
Feb 8,Willamette,"W, 8-7",0,0,0,-,-,-,0,-,-,-,-
Feb 8,Willamette,"L, 5-1",-,-,-,-,-,-,-,-,-,-,-
Feb 9,Willamette,"W, 11-6",3,0,0,-,-,-,0,-,-,-,-
Feb 14,Pomona-Pitzer,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Feb 15,at Pomona-Pitzer,"W, 11-7",-,-,-,-,-,-,-,-,-,-,-
Feb 15,at Pomona-Pitzer,"L, 5-3",0,0,0,-,-,-,1,-,-,-,-
Feb 21,Whittier,"L, 11-5",0,0,0,-,-,-,0,-,-,-,-
Feb 22,at Whittier,"L, 11-1",-,-,-,-,-,-,-,-,-,-,-
Feb 22,at Whittier,"L, 9-3",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Occidental,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Occidental,"W, 8-4",-,-,-,-,-,-,-,-,-,-,-
Mar 3,at Occidental,"L, 4-3",0,0,0,-,-,-,0,-,-,-,-
Mar 7,at Chapman,"L, 5-1",-,-,-,-,-,-,-,-,-,-,-
Mar 8,Chapman,"W, 3-2",1,0,0,-,-,-,0,-,1,-,-
Mar 8,Chapman,"L, 14-3",3,0,0,-,-,-,0,-,1,-,-
Mar 11,Ithaca,"L, 6-2",-,-,-,-,-,-,-,-,-,-,-
Mar 14,La Verne,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Mar 15,vs. La Verne,"W, 9-7",-,-,-,-,-,-,-,-,-,-,-
Mar 15,vs. La Verne,"L, 9-6",0,0,0,-,-,-,0,-,-,-,-
Mar 21,vs. Carleton,"W, 9-8",-,-,-,-,-,-,-,-,-,-,-
Mar 22,vs. Carthage,"L, 7-6",-,-,-,-,-,-,-,-,-,-,-
Mar 22,vs. Middlebury,"W, 21-5",0,2,0,-,-,-,1,1,-,-,-
Mar 28,Pacific Lutheran,"L, 8-1",-,-,-,-,-,-,-,-,-,-,-
Mar 29,Pacific Lutheran,"L, 14-3",-,-,-,-,-,-,-,-,-,-,-
Apr 4,at Cal Lutheran,"L, 9-7",-,-,-,-,-,-,-,-,-,-,-
Apr 5,Cal Lutheran,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 5,Cal Lutheran,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Apr 11,Redlands,"L, 10-1",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at Redlands,"L, 8-0",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at Redlands,"W, 9-6",-,-,-,-,-,-,-,-,-,-,-
Apr 18,at Caltech,"W, 12-3",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Caltech,"W, 7-3",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Caltech,"W, 13-0",-,-,-,-,-,-,-,-,-,-,-
Apr 23,Cal Lutheran,"L, 15-3",-,-,-,-,-,-,-,-,-,-,-
Apr 25,at Redlands,"L, 18-7",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at Whittier,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Apr 29,Occidental,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
