Tm,BLK%,MP,ORB%,Rk
ATL,0.0,23:00,12.5,32
ATL,0.0,15:00,7.8,52
ATL,0.0,13:00,0.0,30
ATL,0.0,27:00,0.0,38
ATL,0.0,16:00,0.0,55
ATL,0.0,21:00,0.0,33
ATL,0.0,33:00,3.4,19
ATL,0.0,19:00,0.0,13
ATL,0.0,9:00,0.0,41
ATL,0.0,27:00,4.0,54
ATL,0.0,18:00,0.0,47
ATL,0.0,18:00,4.4,31
ATL,0.0,24:00,4.2,15
ATL,0.0,16:00,0.0,34
ATL,0.0,13:00,6.8,44
ATL,0.0,16:00,0.0,10
ATL,0.0,18:00,0.0,17
ATL,0.0,26:00,0.0,26
ATL,0.0,27:00,0.0,49
ATL,0.0,26:00,0.0,14
ATL,0.0,21:00,0.0,37
ATL,0.0,18:00,0.0,9
ATL,0.0,17:00,0.0,48
ATL,0.0,24:00,7.7,7
ATL,0.0,16:00,0.0,8
ATL,0.0,24:00,0.0,50
ATL,0.0,14:00,0.0,25
ATL,0.0,17:00,0.0,22
ATL,0.0,7:00,0.0,45
ATL,0.0,23:00,0.0,23
ATL,0.0,20:00,5.9,28
ATL,0.0,27:00,4.1,20
ATL,0.0,18:00,9.9,43
ATL,0.0,8:00,0.0,40
