Player,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Alan Gordon,F,24,17,1436,4,3,40,14,53,33,23,7,1
Sam Cronin,M,34,34,2971,2,4,28,7,48,25,0,4,0
Steven Lenhart,F,21,14,1322,4,2,35,13,36,39,13,7,1
Chris Wondolowski,F-M,29,29,2610,11,3,101,44,33,33,14,5,0
Victor Bernardez,D,25,25,2233,1,1,17,4,24,18,1,9,2
Steven Beitashour,D,27,27,2426,1,3,5,1,23,22,0,0,0
Marvin Chavez,M,15,12,1053,1,1,22,4,22,18,9,2,1
Shea Salinas,M,28,24,1982,2,8,35,16,21,30,4,1,0
Rafael Baca,M,31,28,2379,0,2,30,7,17,35,5,6,1
Adam Jahn,F,22,11,1059,4,0,29,10,16,9,5,1,0
Justin Morrow,D,26,21,1937,1,2,7,1,16,14,1,1,1
Walter Martinez,M,15,10,919,2,2,16,5,15,30,5,1,0
Cordell Cato,D,20,10,1030,1,2,19,5,13,19,1,0,0
Jason Hernandez,D,21,19,1680,0,0,0,0,13,9,0,2,0
Ramiro Corrales,M,12,11,870,0,2,14,2,13,13,1,3,0
Jordan Stewart,D-M,12,12,1080,0,0,4,1,12,13,0,0,0
Dan Gargan,D,8,6,591,0,1,3,0,8,8,0,1,0
Mike Fucito,F,7,2,228,0,0,8,1,8,2,1,2,0
Nana Attakora,D,8,7,657,0,1,6,0,5,8,2,0,0
Ty Harden,D,7,7,596,0,0,3,0,5,3,0,1,0
Clarence Goodson,D,9,9,791,0,0,9,3,4,9,0,4,0
Marcus Tracy,F,5,0,58,0,0,2,1,3,0,1,0,0
Mehdi Ballouchy,M,5,1,118,0,0,1,0,2,3,0,1,0
Brad Ring,D,3,3,270,0,0,1,0,1,1,0,0,0
Abu Tommy,M,0,0,0,0,0,0,0,0,0,0,0,0
