F,A,H,M,I,E,P
Ducks,ANA,PT,0.521,3,Blues,0.87
Home,Team,Time Zone,Opp Pt %,Days Gap,Visitor,Opp 5 on 5 FA
Blackhawks,ANA,CT,0.613,3,Ducks,1.18
Flames,ANA,MT,0.62,2,Ducks,1.09
Canadiens,ANA,ET,0.563,1,Ducks,0.96
Ducks,ANA,PT,0.431,1,Lightning,0.89
Ducks,ANA,PT,0.575,2,Rangers,0.88
Ducks,ANA,PT,0.549,1,Oilers,1.06
Ducks,ANA,PT,0.514,2,Stars,0.95
Blues,ANA,CT,0.521,1,Ducks,0.87
Red Wings,ATL,ET,0.729,3,Thrashers,1.26
Ducks,ANA,PT,0.62,4,Flames,1.09
Coyotes,ANA,MT,0.459,1,Ducks,0.81
Bruins,ANA,ET,0.699,2,Ducks,1.49
Lightning,ATL,ET,0.431,3,Thrashers,0.89
Red Wings,ANA,ET,0.729,1,Ducks,1.26
Kings,ANA,PT,0.486,2,Ducks,0.77
Stars,ANA,CT,0.514,4,Ducks,0.95
Oilers,ANA,MT,0.549,3,Ducks,1.06
Ducks,ANA,PT,0.62,2,Flames,1.09
Rangers,ANA,ET,0.575,3,Ducks,0.88
Sabres,ATL,ET,0.528,1,Thrashers,0.96
Avalanche,ANA,MT,0.438,1,Ducks,0.79
Ducks,ANA,PT,0.549,2,Oilers,1.06
Thrashers,ATL,ET,0.574,5,Hurricanes,1.01
Ducks,ANA,PT,0.514,5,Stars,0.95
Thrashers,ATL,ET,0.674,2,Devils,1.36
Ducks,ANA,PT,0.729,3,Red Wings,1.26
Thrashers,ATL,ET,0.528,3,Wild,0.87
Canucks,ANA,PT,0.599,3,Ducks,1.22
Blues,ANA,CT,0.521,2,Ducks,0.87
Ducks,ANA,PT,0.62,2,Flyers,1.02
Hurricanes,ANA,ET,0.574,2,Ducks,1.01
Panthers,ATL,ET,0.556,1,Thrashers,1.05
Ducks,ANA,PT,0.438,2,Avalanche,0.79
Flames,ANA,MT,0.62,1,Ducks,1.09
Avalanche,ANA,MT,0.438,3,Ducks,0.79
Ducks,ANA,PT,0.736,1,Sharks,1.17
Ducks,ANA,PT,0.556,2,Panthers,1.05
Ducks,ANA,PT,0.459,3,Coyotes,0.81
Stars,ANA,CT,0.514,2,Ducks,0.95
Canucks,ANA,PT,0.599,2,Ducks,1.22
Ducks,ANA,PT,0.535,5,Predators,0.95
Ducks,ANA,PT,0.613,1,Blackhawks,1.18
Wild,ANA,CT,0.528,2,Ducks,0.87
Ducks,ANA,PT,0.452,4,Thrashers,0.91
Flyers,ATL,ET,0.62,2,Thrashers,1.02
Ducks,ANA,PT,0.574,2,Hurricanes,1.01
Ducks,ANA,PT,0.486,2,Kings,0.77
Islanders,ANA,ET,0.389,1,Ducks,0.7
Thrashers,ATL,ET,0.649, ,Capitals,1.14
Ducks,ANA,PT,0.736,4,Sharks,1.17
Ducks,ANA,PT,0.729,2,Red Wings,1.26
Coyotes,ANA,MT,0.459,6,Ducks,0.81
Ducks,ANA,PT,0.569,4,Blue Jackets,1.15
Ducks,ANA,PT,0.528,2,Sabres,0.96
Ducks,ANA,PT,0.438,2,Avalanche,0.79
Rangers,ATL,ET,0.575,2,Thrashers,0.88
Ducks,ANA,PT,0.514,3,Stars,0.95
Red Wings,ANA,ET,0.729,2,Ducks,1.26
Ducks,ANA,PT,0.649,3,Capitals,1.14
