OBP,AB,Player,2B,SF,H,SH,POS
0.265,206,H Casillas,9,1,49,2,3B
0.388,262,L Figueroa,19,3,87,4,3B
0.396,301,J Macias,12,1,105,9,3B
0.219,91,F Lopez,0,0,16,3,3B
0.368,400,W Otanez,23,6,112,0,1B
0.381,397,J Gutierrez,27,4,126,2,1B
0.36,23,R Navarrete,1,0,7,1,3B
0.333,310,A Valencia,15,3,81,7,1B
0.305,317,R Sanchez,19,0,85,13,3B
0.413,234,E Guzman,10,0,72,3,1B
0.344,269,J Castaneda,12,1,74,14,3B
0.342,348,H Arredondo,15,4,102,2,3B
0.321,49,C Sosa,1,0,11,1,3B
0.408,319,S Gastelum,20,1,102,5,3B
0.306,34,J Amador,2,0,9,0,1B
0.311,119,O Castaneda,4,1,29,2,3B
0.382,396,J Hernandez,21,3,118,0,1B
0.395,397,V Rodriguez,21,7,142,4,3B
0.371,378,R Martinez,19,4,117,1,1B
0.354,141,B Nelson,11,1,38,3,3B
0.398,112,I Salas,4,0,41,3,3B
0.376,395,A Murillo,22,4,127,2,3B
0.315,163,E Wilson,6,0,41,3,3B
0.336,104,J Leon,4,0,29,0,3B
0.318,326,J Trejo,14,1,83,8,3B
