Opponent,sv,h,ibb,r,hbp,bk,3b,so
NORTHERN IOWA,2,8,0,4,1,0,0,12
UC Davis,1,7,0,7,1,0,0,2
WICHITA STATE,4,10,0,6,0,2,1,2
Hofstra,2,12,0,5,2,0,0,2
SAINT LOUIS,2,6,0,3,1,0,0,5
MISSOURI STATE,4,5,0,1,0,0,1,5
Virginia Tech,0,8,0,4,1,0,1,2
Illinois State,3,9,0,10,0,0,0,1
EASTERN KENTUCKY,2,5,0,1,0,0,0,4
MISSOURI STATE,4,9,0,5,0,0,0,2
SAINT LOUIS,2,9,0,6,1,0,0,2
Eastern Illinois,3,6,0,8,1,0,0,1
NORTHERN ILLINOIS,2,9,0,4,1,0,0,1
Massachusetts,1,5,0,4,0,0,0,4
LIU-Brooklyn,1,3,0,2,0,0,1,7
BRADLEY,8,13,0,5,0,0,0,5
ILLINOIS,8,8,0,4,0,0,0,6
Georgia Southern,1,6,0,1,0,0,0,2
BRADLEY,8,8,0,2,2,0,0,9
WISCONSIN,2,12,0,7,3,0,0,2
Fordham,0,6,0,0,0,0,0,7
USF,1,4,0,4,0,0,0,3
Appalachian State,1,12,0,10,1,0,0,6
Georgia Southern,1,5,0,1,1,0,0,5
UCF,1,6,0,5,0,0,0,4
WICHITA STATE,3,14,0,6,0,1,0,4
Virginia Tech,1,11,0,9,0,0,0,4
Creighton,5,12,0,5,0,0,0,5
Evansville,4,9,0,8,2,0,0,3
Evansville,4,5,0,4,0,0,0,2
