Teleporter,Position,Destination,Status,Revive,Auction,Storage,TT,Repair,Crafting,Soc,Ad
0x101 Supply Depot,"(137601, 87152, 161)",Cyrene,In Game,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A.R.C. Camp Epsilon,"(128172, 85185, 139)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
A.R.C. Camp Oak,"(124215, 81615, 149)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
A.R.C. Camp Xi,"(126169, 88692, 136)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
A.R.C. Head Quarters,"(129132, 82649, 130)",Cyrene,In Game,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
A.R.C. Training Area,"(129262, 84184, 122)",Cyrene,In Game,Yes, ,Yes,Yes,Yes, ,Yes, 
Aerial Base Outskirts,"(129926, 86703, 123)",Cyrene,In Game,Yes, ,Yes,Yes,Yes, ,Yes, 
Base Camp Zeta,"(124939, 89012, 158)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Center Of Janus,"(136489, 85516, 176)",Cyrene,In Game,Yes,Yes,Yes,Yes,Yes,Yes,Yes, 
Checkpoint Racetrack,"(124733, 79411, 160)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Craggs Point West,"(124373, 83691, 112)",Cyrene,In Game,Yes, ,Yes,Yes,Yes, ,Yes, 
Cyrene Port,"(136859, 85811, 180)",Cyrene,In Game,Yes, ,Yes,Yes,Yes, ,Yes, 
Hunting Grounds,"(137529, 87250, 151)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,No,No
Impact Zone I,"(13130, 85494, 103)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes, 
Impact Zone II,"(133745, 86229, 120)",Cyrene,In Game, , ,Yes,Yes,Yes, ,Yes, 
Impact Zone III,"(125681, 78086, 101)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes, 
Impact Zone IV,"(127303, 86375, 115)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,No, 
Impact Zone V,"(124335, 79637, 110)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,No,No
Impact Zone VII,"(127395, 89504, 105)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Inner Turrelion Outpost,"(124525, 84184, 122)",Cyrene,In Game,Yes,Yes,Yes,Yes,Yes,Yes,Yes, 
Janus Gateway,"(136531, 85811, 424)",Cyrene,In Game,Yes,Yes,Yes,Yes,Yes,Yes,Yes, 
L.U.I.G.I.V.R,"(137511, 87264, 163)",Cyrene,In Game, , , , , , , , 
M.A.R.I.O.V.R,"(137504, 87263, 163)",Cyrene,In Game,Yes,No,No, ,No,No,No,No
Marsh Base B.A.R.A.L,"(133819, 85326, 173)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Outer Turrelion Outpost,"(124842, 77911, 143)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Puny Beach,"(138412, 87981, 154)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Puny Beach Training Base,"(137532, 87278, 161)",Cyrene,In Game,No,No,No,No,No,No,No,No
R66-X,"(128878, 78980, 101)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Secluded Outpost XABY,"(131470, 86012, 106)",Cyrene,In Game,Yes,No,No,No,No,No,No,No
Second Hand Staging Area,"(136850, 85500, ?????)",Cyrene,In Game,No,No,No,No,No,No,No,No
Setter Docks,"(128675, 77650, 108)",Cyrene,In Game,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Shadowed Glade,"(135571, 84860, 209)",Cyrene,In Game,Yes, , , , , , , 
Southern Base,"(128533, 83770, 111)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Tanhok Crystal Garden,"(136188, 83629, 148)",Cyrene,In Game,Yes,No,No,No,No,No,No,No
The Brim,"(129828, 80085, 398)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Volcano Beach,"(125737, 81073, 129)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Waterfall Perimeter,"(129215, 88706, 112)",Cyrene,In Game,Yes,No,Yes,Yes,Yes,No,Yes,No
Zeladoth Spawning Grounds,"(133811, 82603, 115)",Cyrene,In Game,Yes,No,No,No,No,No,No,No
Zik Outskirts,"(131793, 84354, 118)",Cyrene,In Game,Yes, ,Yes,Yes,Yes, ,Yes, 
Zyn'Kimbro Village,"(128637, 79698, 139)",Cyrene,In Game,Yes, ,Yes,Yes,Yes, ,Yes, 
