Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id
KAMIYA Harue,JPN,F,09CAN33,0.0,0.0,0.0,1982.0,R,1.0,08/09/2009,28.0,CAN7733
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09CAN33,0.0,1460.0,0.0,1982.0,R,1.0,08/09/2009,36.0,CAN7733
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09CAN33,2.0,0.0,0.0,1982.0,R,1.0,08/09/2009,50.0,CAN7733
KAMIYA Harue,JPN,F,09IWSF02,0.0,0.0,0.0,1982.0,R,1.0,08/09/2009,50.0,CAN7733
KAMIYA Harue,JPN,F,09IWSF02,0.0,0.0,0.0,1982.0,R,1.0,08/09/2009,28.0,CAN7733
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09IWSF02,0.0,1460.0,0.0,1982.0,R,1.0,08/09/2009,36.0,CAN7733
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S077R,0.0,0.0,37.6,1982.0,R,1.0,06/14/2009,1.0,USAS0320
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S077R,34.0,0.0,0.0,1982.0,L,1.0,06/14/2009,1.0,USAS0320
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S077R,0.0,0.0,40.3,1982.0,L,2.0,06/14/2009,1.0,USAS0320
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S077R,37.5,0.0,0.0,1982.0,L,2.0,06/14/2009,1.0,USAS0320
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S103R,0.0,0.0,37.5,1982.0,R,1.0,05/17/2009,11.0,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S103R,34.0,0.0,0.0,1982.0,R,1.0,05/17/2009,13.0,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S103R,0.0,0.0,38.6,1982.0,R,2.0,05/17/2009,11.0,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S103R,38.0,0.0,0.0,1982.0,R,2.0,05/17/2009,13.0,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S029R,0.0,0.0,34.6,1982.0,R,1.0,10/18/2009,3.0,USAS0306
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S029R,33.0,0.0,0.0,1982.0,R,1.0,10/18/2009,3.0,USAS0306
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S029R,0.0,0.0,36.2,1982.0,R,2.0,10/18/2009,3.0,USAS0306
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S030R,0.0,0.0,35.7,1982.0,L,1.0,10/04/2009,3.0,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S030R,0.0,2180.0,0.0,1982.0,L,1.0,10/04/2009,3.0,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S030R,38.5,0.0,0.0,1982.0,R,1.0,10/04/2009,6.0,USAS0355
KAMIYA Harue,JPN,F,10S030R,38.5,2180.0,35.7,1982.0,R,1.0,10/04/2009, ,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S030R,0.0,0.0,37.9,1982.0,L,2.0,10/04/2009,3.0,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S030R,0.0,2580.0,0.0,1982.0,L,2.0,10/04/2009,3.0,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S042R,0.0,0.0,37.0,1982.0,R,1.0,10/25/2009,4.0,USAS0306
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S042R,0.0,0.0,37.9,1982.0,R,2.0,10/25/2009,4.0,USAS0306
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S060R,0.0,0.0,38.5,1982.0,L,1.0,10/20/2009,3.0,USAS0355
 , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,10S060R,0.0,0.0,38.0,1982.0,L,2.0,10/20/2009,3.0,USAS0355
