DRtg,BLK%,eFG%,ORtg,MP,Rk,TOV%,Age,Tm
107,0.0, ,0,10:00,25,100.0,31-102,SEA
86,10.7,1.000,108,10:00,31,50.0,31-116,SEA
103,3.7,1.000,119,14:00,74,41.0,31-225,SEA
120,4.5, ,208,13:00,63, ,31-199,SEA
87,0.0, , ,4:00,53, ,31-174,SEA
106,0.0,.000,25,13:00,27,0.0,31-107,SEA
108,3.6,.500,84,34:00,40,25.8,31-136,SEA
101,0.0, ,146,15:00,16,0.0,31-084,SEA
134,0.0,.500,108,6:00,72,0.0,31-220,SEA
107,11.3,1.000,118,12:00,1,50.0,31-055,SEA
117,0.0,1.000,200,10:00,26,0.0,31-105,SEA
116,0.0,.000,0,3:00,20,50.0,31-093,SEA
122,7.8, , ,8:00,61, ,31-193,SEA
106,0.0,.000,48,18:00,22,20.0,31-096,SEA
113,0.0,.000,43,5:00,57,0.0,31-185,SEA
118,0.0,1.000,201,16:00,44,0.0,31-145,SEA
118,0.0,.000,62,13:00,43,0.0,31-142,SEA
115,3.3,.000,103,19:00,36,0.0,31-126,SEA
138,0.0,.000,151,8:00,12,0.0,31-077,SEA
94,5.7,.000,0,11:00,69,50.0,31-214,SEA
90,0.0,.000,18,6:00,10,25.0,31-073,SEA
106,0.0,.500,114,5:00,65,0.0,31-203,SEA
113,0.0,.750,165,12:00,6,0.0,31-064,SEA
113,0.0, , ,8:00,55, ,31-179,SEA
108,0.0, ,209,12:00,42, ,31-140,SEA
119,0.0,1.000,202,5:00,49,0.0,31-158,SEA
77,0.0,1.000,201,4:00,66,0.0,31-206,SEA
101,30.8, , ,2:00,50, ,31-159,SEA
101,0.0, , ,4:00,9, ,31-070,SEA
112,6.8, ,42,9:00,14,100.0,31-081,SEA
109,8.1,.400,112,8:00,58,12.9,31-187,SEA
76,0.0,.500,128,4:00,17,0.0,31-087,SEA
122,0.0,.000,135,8:00,3,0.0,31-059,SEA
102,0.0,.667,110,13:00,23,22.5,31-098,SEA
114,0.0,.500,118,10:00,64,0.0,31-201,SEA
117,0.0,1.000,200,4:00,47,0.0,31-154,SEA
