2B,SO,POS,SLG,SF,BB,SB,SH,HR,AVG
2,9,CF,.216,0,3,2,0,0,.162
3,10,C,.333,0,4,2,0,0,.235
1,20,2B,.253,1,13,9,1,0,.240
0,5,C,.000,0,4,1,0,0,.000
9,14,SS,.395,0,3,2,1,1,.222
7,16,C,.381,2,11,0,0,2,.247
9,45,CF,.462,0,21,7,2,1,.280
9,38,3B,.320,3,5,11,4,2,.222
1,4,C,.364,0,1,0,0,0,.273
13,61,RF,.438,1,16,5,0,7,.269
3,3,CF,.545,0,4,2,0,1,.364
0,11,C,.222,0,8,0,0,0,.222
0,4,2B,.200,0,1,0,0,0,.067
6,23,C,.355,1,5,0,0,1,.234
0,1,LF,.000,0,0,0,0,0,.000
2,2,LF,.588,0,5,2,0,1,.294
3,18,3B,.313,0,3,2,0,0,.250
0,8,3B,.275,0,7,7,2,1,.220
6,38,SS,.269,1,13,4,2,0,.238
2,8,2B,.269,1,7,2,0,0,.192
7,9,C,.375,2,14,1,2,1,.279
2,6,C,.208,0,3,0,0,0,.125
4,18,C,.357,2,9,0,0,3,.171
0,2,SS,.385,0,1,1,0,0,.385
1,10,SS,.464,0,3,1,0,2,.214
5,11,C,.377,0,9,1,1,1,.246
9,31,RF,.384,1,18,8,0,1,.254
0,3,C,.176,1,3,0,1,0,.176
10,24,2B,.438,2,28,12,7,1,.333
0,3,2B,.174,0,1,1,0,0,.174
1,4,SS,.556,0,0,0,0,0,.222
2,1,2B,.438,0,2,0,0,0,.313
7,44,2B,.304,0,7,8,4,0,.226
5,21,DH,.400,1,2,0,0,1,.267
3,43,RF,.232,0,7,11,0,0,.205
0,1,3B,.273,0,4,0,0,0,.273
3,13,C,.258,1,8,0,1,0,.212
4,34,LF,.356,4,10,11,0,0,.306
1,0,C,.947,0,0,0,0,3,.316
0,14,DH,.135,0,2,4,0,0,.135
0,6,DH,.227,0,1,1,0,0,.136
2,47,LF,.218,0,11,5,2,2,.139
2,10,C,.350,0,3,0,2,1,.225
3,21,1B,.287,1,7,0,0,0,.230
4,31,CF,.292,1,10,11,3,0,.230
0,13,DH,.167,0,2,0,1,0,.167
9,59,3B,.279,4,10,0,0,0,.224
0,1,DH,.333,0,0,0,0,0,.333
1,10,3B,.320,0,4,0,1,1,.160
3,11,C,.370,0,1,0,0,0,.278
1,14,1B,.305,0,5,2,0,1,.169
3,15,LF,.286,0,8,6,0,1,.214
8,17,C,.386,0,11,1,0,1,.261
1,4,SS,.250,0,1,1,0,0,.208
10,51,LF,.485,2,11,2,2,6,.250
4,15,2B,.250,1,15,2,1,0,.222
1,8,C,.308,1,1,0,0,0,.282
6,39,2B,.280,3,18,5,1,0,.213
7,34,1B,.404,1,17,2,0,3,.257
7,42,RF,.392,1,7,2,0,3,.257
12,24,C,.335,2,11,0,0,0,.257
3,12,RF,.282,2,9,2,2,0,.224
3,27,LF,.245,1,15,11,0,0,.215
4,15,RF,.275,0,9,1,0,0,.175
1,1,SS,.400,0,1,0,0,0,.200
15,37,RF,.500,0,24,7,1,6,.265
1,8,C,.222,0,2,0,0,0,.156
7,20,3B,.309,0,10,7,0,0,.259
0,9,1B,.583,0,2,0,0,2,.361
1,11,2B,.279,0,11,1,0,0,.265
5,29,RF,.344,0,3,5,0,0,.271
2,16,3B,.356,1,2,1,0,0,.310
2,14,C,.264,0,9,9,0,0,.208
3,34,CF,.255,1,13,4,0,0,.224
2,19,CF,.208,0,13,3,2,0,.182
0,3,2B,.000,0,2,0,0,0,.000
10,55,SS,.333,3,10,8,1,1,.242
5,21,LF,.356,3,14,15,1,0,.287
0,1,OF,.000,0,0,0,0,0,.000
4,30,3B,.359,2,9,1,2,1,.239
4,21,CF,.345,1,20,26,0,1,.282
2,12,DH,.143,0,3,1,1,0,.102
4,52,2B,.281,0,21,13,8,1,.238
1,5,SS,.346,0,2,1,0,0,.231
2,11,RF,.250,0,5,0,0,0,.200
3,20,CF,.503,0,15,16,4,3,.381
1,5,1B,.357,1,3,0,0,1,.214
9,25,RF,.378,0,21,5,0,0,.297
0,1,SS,.250,0,0,1,0,0,.250
4,20,C,.259,0,2,0,1,0,.185
10,20,DH,.519,0,11,0,1,3,.253
1,17,LF,.182,0,8,1,0,1,.091
0,4,1B,.240,0,1,1,0,0,.240
2,15,C,.298,0,6,0,1,0,.193
1,3,C,.250,0,1,1,0,0,.167
5,68,RF,.387,0,18,4,0,4,.204
3,25,2B,.402,4,7,8,1,0,.336
2,9,C,.378,0,5,0,0,0,.324
0,11,LF,.226,1,6,2,0,0,.226
7,6,3B,.354,2,3,3,4,0,.246
0,0,OF,.333,0,0,0,0,0,.333
0,2,C,.000,0,1,0,0,0,.000
1,5,OF,.313,0,5,2,0,0,.250
4,15,C,.255,0,2,1,0,0,.182
11,16,C,.417,1,16,2,2,1,.291
8,38,CF,.339,0,13,6,0,1,.246
6,38,CF,.358,1,13,11,1,3,.226
2,8,C,.485,0,3,0,0,1,.333
0,1,DH,.133,0,3,0,0,0,.133
5,20,LF,.289,3,5,2,1,0,.228
2,35,LF,.222,0,15,4,2,0,.185
6,12,C,.317,0,10,2,3,0,.244
11,20,SS,.369,1,10,4,1,1,.278
3,10,2B,.341,0,2,2,0,0,.268
2,3,3B,.909,0,1,0,0,1,.455
1,4,LF,.429,0,2,0,0,0,.286
3,3,C,.517,0,2,0,0,0,.345
6,44,RF,.508,1,15,3,0,6,.288
12,36,2B,.322,5,27,8,0,2,.223
22,52,RF,.486,5,22,4,0,5,.313
3,8,DH,.329,0,10,3,0,1,.214
9,53,CF,.340,1,23,25,0,2,.218
3,6,C,.278,0,13,2,1,0,.236
6,40,1B,.389,0,18,0,1,3,.271
1,2,OF,.533,0,4,2,0,1,.267
9,13,1B,.440,1,18,1,0,2,.290
2,5,SS,.563,0,1,1,0,0,.438
4,53,SS,.219,0,10,10,4,1,.171
1,4,SS,.310,0,1,1,0,0,.276
