USG%,STL%,BLK%,eFG%,TOV%
8.5,0.0,0.0,.500,0.0
21.9,0.0,0.0,.000,0.0
17.4,0.0,0.0,1.000,0.0
9.2,0.0,0.0,.000,50.0
0.0,0.0,0.0, , 
31.5,9.9,9.1,.286,12.5
22.2,2.7,0.0,.556,10.0
22.1,0.0,0.0,.000,0.0
23.1,0.0,4.3,.625,0.0
11.8,0.0,0.0,.500,0.0
44.9,0.0,0.0,.000,0.0
8.9,0.0,0.0, ,0.0
29.6,0.0,0.0,.000,50.0
8.3,8.8,0.0,.000,0.0
11.7,0.0,5.3,.333,25.0
30.1,0.0,0.0,.500,0.0
45.4,17.7,0.0,.000,0.0
14.3,0.0,0.0,.000,0.0
45.7,0.0,0.0,.000,33.3
10.2,0.0,0.0,.000,0.0
34.9,0.0,4.6,.545,0.0
0.0,5.2,0.0, , 
23.3,0.0,8.7,.250,20.0
27.1,0.0,0.0,.333,20.5
15.4,9.1,13.1,.000,0.0
0.0,50.1,0.0, , 
28.4,0.0,8.8,.333,0.0
7.6,0.0,0.0,1.000,0.0
15.0,0.0,0.0,.250,0.0
22.1,3.6,0.0,.000,38.1
