Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Lars Anderson,LanGre,134,493,82,144,37,3,11,78,2,4,82,121,0.292,0.393,0.446,0.839
Jay Johnson,PorLan,134,521,63,140,34,4,6,81,5,4,57,99,0.269,0.344,0.384,0.727
Jed Lowrie,PawPor,133,497,82,148,47,8,13,70,5,4,77,91,0.298,0.393,0.503,0.896
Brandon Moss,Paw,133,493,66,139,41,2,16,78,3,5,61,148,0.282,0.363,0.471,0.834
Jason Place,Gre,129,459,60,98,23,4,12,55,9,8,52,160,0.214,0.298,0.359,0.657
Zachary Daeges,Lan,127,515,124,170,55,5,21,113,4,1,82,97,0.33,0.423,0.579,1.002
Aaron Bates,PorLan,125,464,105,142,30,2,28,101,0,1,86,112,0.306,0.435,0.56,0.995
Andrew Pinckney,Por,125,458,72,121,28,4,14,64,4,7,41,100,0.264,0.327,0.434,0.761
Jon Still,LanGre,124,440,90,128,29,1,25,98,2,1,105,103,0.291,0.429,0.532,0.961
Jeff Corsaletti,Por,123,462,93,123,21,3,6,58,20,7,83,87,0.266,0.385,0.364,0.749
Iggy Suarez,PorLan,123,418,68,114,25,3,4,48,7,2,49,106,0.273,0.35,0.376,0.726
Bobby Scales,Paw,122,432,64,127,28,8,11,57,14,3,50,94,0.294,0.373,0.472,0.845
Joe McEwing,Paw,122,477,50,128,23,2,8,49,6,9,28,104,0.268,0.316,0.375,0.692
Jeff Natale,Por,119,404,66,109,28,1,5,64,5,3,88,36,0.27,0.417,0.381,0.798
Tony Granadillo,PorLan,118,472,108,154,39,7,8,67,2,1,57,68,0.326,0.41,0.489,0.9
Scott White,Lan,117,465,79,119,29,1,21,98,4,3,56,103,0.256,0.347,0.458,0.805
Carlos Fernandez-Oliva,GreLow,117,434,59,121,23,1,2,58,8,4,40,84,0.279,0.337,0.35,0.688
Jeff Bailey,Paw,115,404,64,99,22,1,15,60,9,6,59,99,0.245,0.358,0.416,0.774
Cory Keylor,PawPor,115,414,54,101,24,6,9,50,7,3,41,116,0.244,0.315,0.396,0.711
Kristopher Negron,LanGre,115,414,64,93,11,4,3,29,31,7,46,99,0.225,0.324,0.292,0.616
Reid Engel,Gre,112,411,60,120,20,6,9,49,13,4,38,78,0.292,0.361,0.436,0.796
Ed Rogers,Paw,111,405,41,101,16,0,6,35,9,5,20,66,0.249,0.29,0.333,0.624
Bubba Bell,PorLan,110,469,118,158,32,3,26,105,14,4,62,56,0.337,0.42,0.584,1.004
Mickey Hall,LanGre,106,346,74,97,24,9,11,50,2,2,63,99,0.28,0.392,0.497,0.889
Bryan Pritz,PawPor,106,372,50,107,22,3,7,49,5,1,41,58,0.288,0.356,0.419,0.775
