Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1973-04-14,MIN,OAK,L 1-2 vs OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
1973-04-20,MIN,TEX,W 5-1 vs TEX,3,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,3,"1st career hit, 1st career RBI"
1973-04-21,MIN,TEX,W 5-4 vs TEX,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1st career stolen base
1973-06-03,MIN,DET,L 2-8 vs DET,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,24,3 Doubles
1973-07-22,MIN,BOS,W 10-7 @BOS,6,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,70,4 hits
1973-08-17,MIN,CLE,W 14-2 @CLE,6,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,88,"4 hits, 1st career home run"
1974-05-13,MIN,CHA,W 7-5 @CHA,5,2,4,0,1,0,1,0,0,0,1,0,0,0,0,0,148,4 hits
1975-07-28,MIN,KCA,W 9-8 vs KCA,5,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,291,4 hits
1977-04-11,MIN,SEA,W 12-3 @SEA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,440,Grounded into 3 Double Plays
1977-07-30,MIN,CLE,W 4-3 @CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500th career game
