Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Miles Head,SalGre,129,495,88,148,37,2,22,82,5,4,50,109,0.299,0.372,0.515,0.887
Bryce Brentz,SalGre,115,458,91,140,25,4,30,94,3,3,40,115,0.306,0.365,0.574,0.939
Brandon Jacobs,Gre,115,442,75,134,32,3,17,80,31,8,43,123,0.303,0.376,0.505,0.881
Kolbrin Vitek,Sal,123,473,78,133,22,6,3,43,12,3,45,102,0.281,0.35,0.372,0.722
Alex Hassan,Por,126,454,75,132,34,1,13,64,8,3,76,79,0.291,0.404,0.456,0.86
Lars Anderson,Paw,136,491,65,130,31,2,14,78,5,0,80,120,0.265,0.369,0.422,0.791
Jeremy Hazelbaker,PorSal,124,476,86,128,27,3,17,55,47,15,62,139,0.269,0.36,0.445,0.806
Ryan Lavarnway,PawPor,116,435,75,126,23,0,32,93,1,1,57,107,0.29,0.376,0.563,0.939
Will Middlebrooks,3 Teams,116,439,62,125,26,1,23,94,10,2,26,114,0.285,0.328,0.506,0.834
Hector Luna,Paw,113,421,61,119,22,3,14,58,6,1,42,67,0.283,0.35,0.449,0.799
Daniel Nava,Paw,121,441,69,118,27,2,10,48,10,3,70,88,0.268,0.372,0.406,0.778
Reynaldo Rodriguez,4 Teams,110,405,73,116,39,2,18,77,14,2,39,97,0.286,0.355,0.526,0.881
Jorge Padron,PorSal,127,469,50,116,19,4,7,55,1,0,42,46,0.247,0.31,0.35,0.66
Heiker Meneses,3 Teams,101,390,74,115,18,7,3,41,25,7,29,105,0.295,0.363,0.4,0.763
Che-Hsuan Lin,PawPor,119,466,72,114,16,3,2,36,28,7,58,65,0.245,0.34,0.305,0.644
Oscar Tejeda,Por,123,457,50,114,24,1,5,41,13,4,29,101,0.249,0.297,0.339,0.636
Christian Vazquez,Gre,105,392,71,111,27,3,18,84,2,1,43,84,0.283,0.358,0.505,0.863
Chih-Hsien Chiang,Por,88,321,68,109,37,4,18,76,7,2,25,61,0.34,0.402,0.648,1.05
Derrik Gibson,Sal,128,445,56,107,20,3,1,30,25,11,48,86,0.24,0.321,0.306,0.627
Felix Sanchez,Gre,119,455,81,106,13,4,0,29,55,12,43,130,0.233,0.314,0.279,0.593
Jose Garcia,GreLow,107,427,59,100,17,6,11,52,36,7,31,120,0.234,0.29,0.379,0.67
Sean Coyle,Gre,106,384,77,95,27,7,14,64,20,7,60,110,0.247,0.362,0.464,0.826
Tim Federowicz,Por,90,339,46,94,20,0,8,52,1,0,32,63,0.277,0.338,0.407,0.745
David Renfroe,Gre,107,387,43,93,23,3,8,45,4,3,28,106,0.24,0.296,0.377,0.673
Dan Butler,3 Teams,112,381,44,92,25,0,12,71,5,1,54,69,0.241,0.344,0.402,0.745
