AB,SLG,OPS,G,OBP,2B
9,0.111,0.311,4,0.2,0
192,0.323,0.676,54,0.353,2
235,0.4,0.754,61,0.354,11
181,0.414,0.806,59,0.392,11
98,0.286,0.51,38,0.224,2
88,0.398,0.841,24,0.443,1
158,0.329,0.689,47,0.36,5
192,0.313,0.661,53,0.348,4
190,0.437,0.762,52,0.325,6
90,0.233,0.478,34,0.245,3
25,0.4,0.71,6,0.31,2
113,0.407,0.73,27,0.323,6
57,0.298,0.565,16,0.267,4
207,0.386,0.721,62,0.335,10
102,0.265,0.559,30,0.294,1
163,0.331,0.644,47,0.313,6
4,0.0,0.0,2,0.0,0
114,0.447,0.822,31,0.375,8
248,0.327,0.59,65,0.264,15
17,0.118,0.465,6,0.348,0
116,0.345,0.693,30,0.348,7
273,0.381,0.713,68,0.332,13
