BLK%,Date,TS%,eFG%,G,TRB%,ORtg
5.4,1987-03-21,.800,.800,61,18.3,135
5.4,1986-11-07,.872,1.000,4,13.1,180
4.0,1987-04-03,.694,.667,66,11.4,163
11.5,1987-04-04,.833,.833,67,12.1,141
1.9,1986-12-02,.773,.667,16,15.2,121
0.0,1987-01-19,.500,.500,37,6.5,122
9.8,1987-04-10,.258,.167,70,16.3,66
8.6,1986-12-27,1.011,1.000,26,16.8,164
0.0,1987-01-23,.500,.500,39,10.8,78
2.8,1986-12-04,.512,.500,17,14.4,137
0.0,1987-03-06,1.042,1.000,52,4.8,216
2.5,1987-01-03,.500,.500,29,28.4,98
2.6,1987-03-17,1.031,1.000,58,12.3,162
4.3,1987-03-03,.765,.800,51,16.9,117
12.1,1986-11-20,.450,.375,10,5.7,97
9.7,1986-12-10,1.000,1.000,20,7.1,153
1.9,1987-01-27,.735,.667,41,15.5,133
2.0,1987-04-13,.333,.333,72,9.7,82
3.5,1986-11-04,.410,.250,3,16.3,130
10.8,1986-11-08,.400,.400,5,14.4,117
3.8,1987-03-09,.647,.500,54,10.5,124
4.8,1986-12-16, , ,23,3.9, 
4.9,1987-03-28,.608,.500,64,7.5,115
15.6,1987-03-02,.683,.667,50,22.6,161
5.0,1987-03-26,.694,.667,63,21.2,109
3.9,1986-11-26,.333,.333,13,20.0,103
0.0,1987-01-06, , ,30,0.0,0
0.0,1986-11-11,1.000,1.000,6,12.9,126
8.2,1987-02-23,.500,.500,48,9.6,116
4.9,1987-03-13,.820,1.000,56,16.4,150
7.1,1987-01-07,.761,.857,31,14.4,141
16.1,1987-01-10,.307,.250,32,15.0,107
5.9,1986-11-28,.410,.333,14,17.6,115
6.8,1987-01-30,.500,.500,43,16.9,94
2.1,1986-11-14,.200,.200,7,14.4,65
4.3,1986-11-25,1.064,1.000,12,8.2,140
