GS,USG%,Tm,BLK%,Age,MP,ORB%,GmSc
0,5.8,NJN,0.0,22-238,8:00,0.0,-0.4
0,18.5,NJN,0.0,22-305,12:00,0.0,10.9
1,7.9,NJN,1.9,22-318,32:00,7.5,12.4
0,13.4,NJN,0.0,22-263,6:00,0.0,3.4
0,35.1,NJN,0.0,22-192,9:00,0.0,5.9
0,38.1,NJN,0.0,22-169,1:00,0.0,-1.0
0,0.0,NJN,0.0,22-207,7:00,0.0,0.0
0,24.4,NJN,0.0,22-315,7:00,0.0,2.4
0,14.3,NJN,7.8,22-186,9:00,0.0,-0.7
0,40.1,NJN,0.0,22-165,2:00,49.0,-1.4
0,15.9,NJN,3.8,22-239,16:00,0.0,0.2
0,30.7,NJN,0.0,22-269,5:00,15.2,1.0
0,4.0,NJN,0.0,22-244,9:00,9.4,3.4
0,9.8,NJN,0.0,22-211,4:00,0.0,1.7
0,6.0,NJN,0.0,22-262,6:00,0.0,-1.5
0,74.6,NJN,0.0,22-172,1:00,0.0,2.3
0,25.8,NJN,0.0,22-235,19:00,0.0,2.3
1,15.2,NJN,0.0,22-312,26:00,0.0,0.5
0,21.1,NJN,0.0,22-213,5:00,0.0,-2.4
0,16.5,NJN,0.0,22-245,14:00,0.0,4.0
1,24.2,NJN,0.0,22-241,41:00,0.0,12.0
1,13.1,NJN,0.0,22-322,14:00,0.0,6.1
0,40.0,NJN,0.0,22-157,3:00,0.0,-1.4
0,16.2,NJN,0.0,22-308,8:00,0.0,1.9
0,39.8,NJN,0.0,22-260,3:00,0.0,5.1
0,0.0,NJN,0.0,22-229,1:00,0.0,0.0
0,17.1,NJN,0.0,22-300,5:00,25.3,-1.4
0,0.0,NJN,0.0,22-195,5:00,0.0,-0.1
0,19.1,NJN,0.0,22-214,4:00,0.0,1.3
