ORB%,TRB%,eFG%
0.0,6.9,1.000
27.4,55.2,.000
0.0,9.9,.667
14.1,13.1,.667
0.0,11.8,.600
0.0,0.0, 
0.0,26.4, 
0.0,0.0,.000
17.8,9.3, 
16.2,23.4,.000
12.3,14.5,.833
9.5,12.1,.250
20.1,11.0,.000
0.0,0.0,.000
13.1,15.5,.667
0.0,0.0,.000
12.1,10.3,.429
21.3,10.4,.250
0.0,30.8,.500
0.0,0.0, 
17.0,27.6,.667
17.2,18.5,.500
0.0,0.0,.000
15.8,16.9,1.000
0.0,9.7,.500
0.0,8.9,.000
0.0,18.6,.000
13.2,15.2,.500
0.0,0.0,.000
24.2,24.5,.500
0.0,4.1,1.000
0.0,20.0,1.000
0.0,27.6,.000
5.1,13.8,.500
10.6,15.6,.500
0.0,22.5,.000
0.0,19.6,.000
23.6,24.9,.667
0.0,8.3,.500
15.2,21.8,1.000
0.0,16.1,.500
