SF,Team,CS,2B,SB
3,IE,4,10,7
0,MOD,2,5,2
0,SJ,0,2,4
3,LAN,7,19,28
2,RC,7,11,13
2,HD,0,12,4
1,MOD,4,39,7
0,HD,0,0,0
3,BAK,9,21,36
0,HD,3,2,1
0,STK,0,0,0
0,HD,0,0,0
0,HD,0,1,3
0,STK,0,0,0
5,RC,3,23,9
1,RC,3,6,2
0,LE,0,1,0
0,LAN,0,0,0
0,BAK,2,10,4
0,HD,0,6,0
4,RC,2,18,2
3,BAK,8,12,8
1,HD,0,6,0
1,IE,3,14,4
3,LAN,6,7,20
2,LE,0,10,0
2,MOD,3,23,4
0,LE,0,1,1
0,BAK,0,0,0
2,BAK,2,5,1
0,STK,0,0,0
0,SJ,0,5,0
6,BAK,14,17,52
0,LAN,0,0,0
2,BAK,10,15,37
0,STK,0,0,0
0,LAN,3,16,1
2,IE,8,7,14
0,LE,1,2,12
0,LAN,0,0,0
2,IE,7,17,1
0,HD,0,3,1
2,STK,0,5,2
4,MOD,7,17,24
2,LE,1,10,3
4,SJ,19,34,53
0,IE,0,1,0
7,HD,1,22,2
0,IE,0,0,0
0,IE,0,0,0
5,IE,4,18,4
1,RC,1,7,2
0,IE,0,0,0
0,VIS,0,0,0
2,MOD,2,11,0
3,LE,2,1,3
8,VIS,1,39,0
0,RC,0,2,0
3,LAN,0,10,5
3,STK,3,14,2
2,LAN,0,1,3
0,SJ,0,1,1
1,IE,0,1,1
2,IE,0,21,1
1,BAK,3,27,3
0,MOD,0,5,0
1,LE,14,15,41
4,HD,3,19,8
1,BAK,0,3,0
0,HD,1,3,1
2,STK,1,2,6
0,RC,0,0,0
0,RC,0,0,0
2,MOD,3,11,3
2,HD,4,10,2
4,LAN,11,17,17
5,MOD,10,22,15
0,BAK,0,0,0
0,HD,0,0,0
2,IE,2,13,2
1,BAK,2,6,3
0,HD,0,0,0
0,RC,1,0,0
0,STK,0,1,0
3,MOD,6,11,7
0,BAK,0,1,1
0,VIS,0,15,5
0,LE,0,0,2
4,RC,2,24,3
3,RC,5,5,10
0,HD,0,1,0
0,BAK,3,5,0
1,IE,2,7,2
1,RC,1,3,7
0,LAN,4,11,1
4,HD,14,20,62
1,MOD,0,8,0
0,SJ,0,2,0
0,HD,3,5,2
2,SJ,1,7,3
3,RC,10,30,28
4,BAK,0,18,4
2,LAN,0,3,0
0,RC,0,2,0
4,IE,1,9,0
3,IE,2,34,1
0,MOD,2,11,4
3,MOD,3,24,3
2,LE,3,35,11
5,HD,12,28,18
2,LAN,0,9,0
2,MOD,2,3,2
7,HD,1,7,2
7,SJ,0,33,1
1,LAN,1,11,0
0,RC,0,1,0
7,VIS,8,14,27
5,RC,1,19,0
1,HD,3,16,16
1,VIS,1,12,6
3,STK,1,20,2
1,LE,0,10,0
2,SJ,2,10,8
0,BAK,0,13,1
0,HD,0,0,0
1,IE,6,9,18
0,BAK,0,0,1
5,RC,3,48,4
2,LE,0,1,1
0,LE,0,0,0
1,LE,1,1,0
1,LE,5,8,25
3,VIS,4,7,4
2,SJ,0,9,0
2,IE,1,16,1
3,BAK,3,16,3
