hr,so,sv,bk,era,Opponent,wp
1,11,2,0,1.69,Nicholls State,0
0,8,3,0,2.08,JACKSONVILLE STATE,1
0,3,6,0,2.07,Lipscomb,0
0,2,6,0,2.02,Lipscomb,0
3,8,4,0,2.4,Alabama,0
2,5,6,0,2.04,Lipscomb,0
0,5,6,0,2.01,UCF,0
0,7,1,0,1.67,SFA,0
0,7,5,0,2.06,Chattanooga,0
0,3,6,0,2.04,UCF,0
0,11,4,0,2.28,Marshall,1
0,1,6,0,2.07,UTEP,0
1,3,5,0,2.37,HOUSTON,0
0,10,2,0,1.89,WMU,0
4,8,6,0,2.22,UTEP,0
2,8,3,0,2.17,TULSA,0
0,11,5,0,2.38,HOUSTON,0
0,6,5,0,2.28,KENNESAW STATE,0
0,7,6,0,2.16,MEMPHIS,0
1,2,6,0,2.09,Lipscomb,0
0,9,2,0,1.64,Radford,3
0,8,1,0,1.69,South Alabama,0
30,386,6,3,2.09, ,19
0,7,5,0,2.13,East Carolina,0
1,10,0,0,1.0,SFA,0
0,8,5,0,2.36,KENNESAW STATE,1
