Opp,SP,BB
@PIT,ABurnett,0
@CHN,JHammel,0
KC,CYoung,0
@PIT,FLiriano,1
NYN,NSyndergaard,0
KC,CYoung,0
@CHN,JArrieta,0
CIN,ADeSclafani,0
@CHN,JArrieta,0
@CHN,JArrieta,0
CIN,RIglesias,0
ATL,MWisler,0
@CHN,JArrieta,0
COL,KKendrick,0
COL,KKendrick,0
@PIT,ABurnett,0
NYN,BColon,0
@CHA,CRodon,0
COL,KKendrick,0
@CHN,JLester,0
@CHN,JArrieta,0
@PIT,FLiriano,1
ATL,MWisler,0
ATL,MBanuelos,0
NYN,BColon,0
@CHN,JArrieta,0
ATL,MBanuelos,0
KC,CYoung,0
@CHN,JLester,0
@CHN,JLester,0
@CHN,JArrieta,0
COL,YFlande,0
@PIT,JLocke,0
NYN,JNiese,3
CIN,RIglesias,0
ATL,MBanuelos,0
