Symbol,Company,Insider,Position,Date,Buy/Sell,Shares,Trade Price ($),Cost ($1000),Price Change Since Trade (%),Yield (%),P/E,Market Cap ($M),Details
STFC,State Auto Fina...,STATE AUTOMOBILE MUTUAL INSURA,10% Owner,2015-07-30,Buy,"10,415",$24.03,250.3,0.17,1.68,9.67,989.79,Link
UPLD,Upland Software...,"ESW Capital, LLC",10% Owner,2015-07-30,Buy,"26,205",$7.86,206.0,3.44,0.0,0.0,124.14,Link
RELL,Richardson Elec...,Benham James,Director,2015-07-30,Buy,"5,000",$6.6,33.0,0.0,3.66,0.0,90.23,Link
NOVC,Novation Compan...,Eberwein Jeffrey E.,Director,2015-07-30,Buy,"75,000",$0.3,22.5,-3.33,0.0,1.1,26.53,Link
CTG,Computer Task G...,SULLIVAN DANIEL J,Director,2015-07-30,Buy,"5,000",$6.99,35.0,0.14,3.41,13.31,131.02,Link
GRC,Gorman-Rupp Co,HOAGLIN THOMAS E,Director,2015-07-30,Buy,"1,000",$24.39,24.4,4.02,1.54,19.8,666.23,Link
SFE,Safeguard Scien...,ZARRILLI STEPHEN T,President & CEO (Click for the stocks that their CEOs have bought),2015-07-30,Buy,"1,000",$18.1,18.1,1.49,0.0,0.0,380.59,Link
KEM,Kemet Corp,Assaf Ronald James,"Sr VP, General Counsel & Sec",2015-07-30,Buy,"1,000",$2.21,2.2,6.33,0.0,0.0,107.37,Link
WRLD,World Acceptanc...,VASSALLUZZO SCOTT J, ,2015-07-30,Buy,"254,331",$52.77,13421.0,3.37,0.0,4.76,490.54,Link
ANGI,Angie's List In...,Hundt Charles,Chief Accounting Officer,2015-07-30,Buy,"13,579",$4.47,60.7,11.86,0.0,51.51,292.59,Link
CLMS,Calamos Asset M...,CALAMOS JOHN P SR,"CEO, Chairman, Global Co-CIO, 10% Owner",2015-07-30,Buy,"18,788",$11.9,223.6,0.34,5.02,19.27,245.14,Link
HMST,HomeStreet Inc,CHRISMAN TIMOTHY,Director,2015-07-30,Buy,"2,500",$22.6,56.5,-0.04,0.6,11.48,498.29,Link
AMKR,Amkor Technolog...,Carolin Roger Anthony,Director,2015-07-30,Buy,"12,000",$4.49,53.9,-1.78,0.0,7.56,1046.82,Link
FSBW,FS Bancorp Inc,TUEFFERS MARK,Director of the Bank,2015-07-30,Buy,"1,000",$22.75,22.8,1.93,1.08,11.98,75.04,Link
WWD,Woodward Inc,SENGSTACK GREGG C,Director,2015-07-30,Buy,"12,000",$48.26,579.1,2.26,0.74,18.23,3137.71,Link
BGH,BABSON CP GSDHY,Rollings Michael Thomas,Adviser Board Member,2015-07-29,Buy,"2,600",$19.01,49.4,0.63,0.0,0.0,0.0,Link
SCD,LMP Capital and...,Vanderlee Peter,Portfolio Manager of the Fund,2015-07-29,Buy,"1,000",$14.46,14.5,0.76,0.0,0.0,0.0,Link
WYIGU,JM Global Holdi...,Zhang Qi,"Chairman of Board of Directors, 10% Owner",2015-07-29,Buy,"3,250,000",$10,32500.0,1.5,0.0,0.0,0.0,Link
SYNL,Synalloy Corp,White Vincent W,Director,2015-07-29,Buy,"2,000",$11.78,23.6,-0.25,2.55,14.02,102.43,Link
STFC,State Auto Fina...,STATE AUTOMOBILE MUTUAL INSURA,10% Owner,2015-07-29,Buy,"1,000",$26.3,26.3,-8.48,1.68,9.67,989.79,Link
ABCB,Ameris Bancorp,STERN WILLIAM H,Director,2015-07-29,Buy,"3,133",$26.42,82.8,1.93,0.74,18.53,866.74,Link
UCFC,United Communit...,ADAMS MARTY E,Director,2015-07-29,Buy,"10,000",$5.13,51.3,0.39,0.78,4.96,253.06,Link
UCFC,United Communit...,SCHIRALDI RICHARD J,Director,2015-07-29,Buy,"10,000",$5.18,51.8,-0.58,0.78,4.96,253.06,Link
SPNC,The Spectraneti...,Bridges Kimberly McIntosh,"Sr VP, Sales & Mktg, VI",2015-07-29,Buy,"3,000",$16.8,50.4,1.96,0.0,0.0,726.14,Link
UCFC,United Communit...,Burdman Lee J.,Director,2015-07-29,Buy,"5,700",$5.15,29.4,0.0,0.78,4.96,253.06,Link
JASN,Jason Industrie...,WYNNEFIELD PARTNERS SMALL CAP,10% Owner,2015-07-29,Buy,"58,800",$5.69,334.6,2.11,0.0,0.0,127.77,Link
FRAF,Franklin Financ...,Mowery Donald H,Director,2015-07-29,Buy,"10,509",$23.98,252.0,1.54,2.87,11.19,103.01,Link
CVO,Cenveo Inc,Scheinmann Ian R,"SVP, Legal Affairs",2015-07-29,Buy,"2,500",$1.76,4.4,0.0,0.0,0.0,119.46,Link
SYNL,Synalloy Corp,TERRY JAMES W JR,Director,2015-07-29,Buy,"1,000",$11.99,12.0,-2.0,2.55,14.02,102.43,Link
LXRP,Lexaria Corp,BUNKA CHRISTOPHER,"CEO, 10% Owner",2015-07-29,Buy,"25,000",$0.17,4.3,-5.88,0.0,0.0,6.389,Link
