Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Tennessee,0.274,140,4674,694,1280,293,27,131,654,444,889,95,56,42,43,112,0.34,0.432,0.772
Chattanooga,0.273,139,4675,705,1277,320,53,125,642,523,1075,121,58,66,52,92,0.35,0.444,0.794
Mobile,0.272,138,4640,705,1263,243,28,106,645,548,981,112,60,29,55,103,0.353,0.405,0.758
Carolina,0.263,139,4638,664,1222,266,26,115,613,447,1016,126,49,51,42,83,0.334,0.406,0.741
Jackson,0.263,140,4748,622,1248,263,48,104,576,468,1008,93,64,56,37,79,0.335,0.404,0.739
Mississippi,0.26,140,4675,620,1216,227,24,80,556,451,946,77,50,93,34,103,0.333,0.37,0.703
Birmingham,0.26,140,4715,601,1226,257,47,79,552,469,1082,119,46,40,49,115,0.335,0.385,0.72
Huntsville,0.258,137,4507,566,1165,236,29,61,517,447,950,74,48,42,35,90,0.331,0.364,0.696
Montgomery,0.258,139,4629,682,1193,231,53,111,627,479,937,92,49,33,45,110,0.334,0.402,0.737
Jacksonville,0.253,140,4708,634,1190,242,40,103,581,569,1047,101,55,62,45,103,0.341,0.387,0.727
