Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 14,Utah,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Feb 15,Utah,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Feb 16,Utah,"W, 5-4",4,1,3,-,-,-,0,-,-,-,-
Feb 17,Utah,"L, 5-4",4,0,2,-,-,-,1,-,-,-,-
Feb 19,at Fresno State,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Feb 21,at #21 Texas A&M,"W, 1-0",2,1,0,-,-,-,0,-,1,-,-
Feb 22,at #21 Texas A&M,"L, 7-5",4,1,1,-,-,-,2,1,1,-,-
Feb 23,at #21 Texas A&M,"L, 5-0",4,0,0,-,-,-,0,-,1,-,-
Feb 25,Nevada,"W, 7-4",5,2,2,-,-,1,3,-,-,-,-
Mar 1,San Francisco,"L, 9-1",4,0,1,-,-,-,0,-,1,-,-
Mar 2,at San Francisco,"W, 6-2",5,0,2,2,-,-,2,-,3,-,-
Mar 2,at San Francisco,"L, 9-5",5,1,0,-,-,-,0,-,-,-,-
Mar 5,#24 Fresno State,"W, 2-1",4,0,0,-,-,-,0,-,1,-,-
Mar 7,at UC Riverside,"L, 9-1",3,0,0,-,-,-,0,1,1,-,1
Mar 8,vs. West Virginia,"L, 8-1",3,0,0,-,-,-,0,1,1,-,-
Mar 9,at UC Riverside,"L, 6-1",3,0,1,-,-,-,1,-,-,-,-
Mar 14,Minnesota,"L, 2-1",3,0,0,-,-,-,0,-,-,-,-
Mar 15,Minnesota,"W, 6-2",4,1,0,-,-,-,0,-,-,-,-
Mar 16,Minnesota,"L, 5-3",4,0,0,-,-,-,0,1,1,-,-
Mar 18,Pacific,"W, 4-2",3,1,1,1,-,-,0,-,-,-,-
Mar 21,Northern Colorado,"W, 9-2",3,1,2,-,-,1,2,-,1,-,-
Mar 22,Northern Colorado,"W, 16-1",5,1,2,-,-,-,1,-,2,-,-
