Description,2001,2002,2003,2004,2005,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,Line
Federal government nonofficial foreign currencies held by U.S. government asset,-0.1,0.1,0.2,-0.0,-2.6,0.2,-0.2,-15.7,-0.4,0.1,5.7,1
Federal government nonofficial foreign currencies held by U.S. government asset,-0.1,0.1,0.2,-0.0,-2.6,0.2,-0.2,-15.7,-0.4,0.1,5.7,2
Federal government identified miscellaneous financial claims postal savings system deposits liability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Federal government identified miscellaneous financial claims postal savings system deposits liability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Government-sponsored enterprises private and non-official foreign deposits liability,8.6,1.9,-7.1,-2.2,0.8,-4.8,1.8,-0.5,-1.5,5.3,-0.3,5
Government-sponsored enterprises private and non-official foreign deposits liability,8.6,1.9,-7.1,-2.2,0.8,-4.8,1.8,-0.5,-1.5,5.3,-0.3,6
Life insurance companies premiums liability,-0.4,0.9,0.9,1.6,0.3,1.2,1.8,1.1,2.8,-3.1,0.5,7
Life insurance companies premiums liability,-0.4,0.9,0.9,1.6,0.3,1.2,1.8,1.1,2.8,-3.1,0.5,8
Life insurance companies insurance reserve liabilities other than life and pension fund liability,6.5,10.2,13.9,11.4,9.0,12.3,22.4,6.8,4.4,18.6,6.3,9
Life insurance companies insurance reserve liabilities other than life and pension fund liability,3.1,10.1,10.9,9.8,7.9,8.9,23.9,4.9,3.5,17.8,5.5,10
Life insurance companies insurance reserve policy dividend accumulation liability,1.0,0.1,-0.0,1.2,1.2,2.6,-0.8,1.8,0.4,1.2,1.2,11
Life insurance companies policy and contract claims liability,2.4,0.0,3.0,0.5,-0.1,0.8,-0.7,0.1,0.4,-0.4,-0.4,12
Life insurance companies insurance reserve liabilities other than life and pension fund liability,6.5,10.2,13.9,11.4,9.0,12.3,22.4,6.8,4.4,18.6,6.3,13
"Other (that is, property-casualty) insurance companies insurance or pension fund claims liability",26.1,44.1,46.6,47.9,58.9,99.2,-1.9,28.2,37.8,114.6,54.9,14
Households and nonprofit organizations insurance or pension fund claims asset,11.9,18.5,19.5,21.1,26.7,45.5,-0.8,11.9,15.9,55.9,22.9,15
Nonfarm nonfinancial corporate business insurance receivables asset,10.3,17.4,18.4,18.9,23.3,39.2,-0.8,11.2,14.9,45.3,21.7,16
Nonfarm noncorporate business insurance or pension fund claims asset,2.5,4.2,4.4,3.5,4.9,5.5,-0.2,2.6,3.6,8.2,5.4,17
Farm business insurance or pension fund claims asset,1.4,4.0,4.2,4.4,4.0,9.0,-0.2,2.5,3.4,5.2,5.0,18
Private pension funds unallocated insurance contracts asset,10.1,-4.6,-17.1,-16.5,-6.5,-11.4,-9.0,10.0,-20.1,-22.3,6.6,19
Private pension funds unallocated insurance contracts asset,10.1,-4.6,-17.1,-16.5,-6.5,-11.4,-9.0,10.0,-20.1,-22.3,6.6,20
Private pension funds insurance or pension fund claims contributions receivable assetasset,0.6,0.1,-1.4,-2.5,-3.3,1.7,-8.2,-5.0,-2.4,-2.4,-3.5,21
Private pension funds insurance or pension fund claims contributions receivable assetasset,0.6,0.1,-1.4,-2.5,-3.3,1.7,-8.2,-5.0,-2.4,-2.4,-3.5,22
"Security brokers and dealers collateral repayable, supplied to back borrowed securities asset",70.1,-2.9,102.6,86.9,191.5,21.5,93.9,230.4,311.8,355.1,-131.5,23
"Security brokers and dealers collateral repayable, supplied to back borrowed securities asset",70.1,-2.9,102.6,86.9,191.5,21.5,93.9,230.4,311.8,355.1,-131.5,24
Federal government retirement funds miscellaneous assets (including nonmarketable government securities),60.8,24.5,24.7,40.9,40.0,48.4,58.0,42.2,28.6,42.9,46.2,25
Federal government retirement funds miscellaneous assets (including nonmarketable government securities),60.8,24.5,24.7,40.9,40.0,48.4,58.0,42.2,28.6,42.9,46.2,26
Federal government identified miscellaneous financial claims uniformed services retiree health care fund liability,0.0,1.9,8.6,8.4,-3.1,6.0,10.0,11.2,10.5,10.3,-44.4,27
Federal government identified miscellaneous financial claims uniformed services retiree health care fund liability,0.0,1.9,8.6,8.4,-3.1,6.0,10.0,11.2,10.5,10.3,-44.4,28
