Tm,TOV%,STL%,AST%,TRB%,Rk,TS%,Age,DRB%
CHH,17.4,0.0,7.2,17.8,70,.630,42-228,23.4
CHH,33.3,3.9,22.1,3.9,3,.000,42-072,0.0
CHH,20.0,0.0,10.5,8.7,49,.250,42-186,7.6
CHH,14.3,0.0,4.1,22.1,64,.333,42-216,31.4
CHH,40.0,2.7,12.5,15.7,5,.333,42-076,24.7
CHH,0.0,3.2,0.0,15.4,44,.806,42-172,25.6
CHH,42.9,0.0,6.4,7.2,53,.500,42-196,13.4
CHH,0.0,0.0,19.4,14.5,28,.129,42-132,15.0
CHH, ,0.0,0.0,0.0,16, ,42-101,0.0
CHH,0.0,0.0,0.0,26.0,9,.694,42-084,50.8
CHH,0.0,2.0,0.0,12.6,66,.628,42-219,21.9
CHH,33.3,0.0,0.0,19.1,40,1.000,42-162,36.2
CHH, ,0.0,0.0,0.0,30, ,42-136,0.0
CHH,50.0,0.0,0.0,0.0,17,1.000,42-103,0.0
CHH,0.0,0.0,0.0,12.5,63,.680,42-214,15.8
CHH, ,0.0,0.0,20.8,22, ,42-113,42.1
CHH, ,0.0,0.0,16.2,32, ,42-142,13.0
CHH, ,0.0,0.0,7.8,10, ,42-088,16.7
CHH,12.5,0.0,6.7,25.9,1,.429,42-065,36.4
CHH, ,0.0,0.0,0.0,11, ,42-091,0.0
CHH, ,0.0,0.0,0.0,31, ,42-140,0.0
CHH,20.5,2.4,0.0,15.7,65,.515,42-217,31.3
CHH,0.0,0.0,0.0,12.9,23,.667,42-115,23.9
CHH,33.3,0.0,0.0,19.7,69,.500,42-224,35.3
CHH,0.0,2.5,6.3,19.8,55,.400,42-200,36.4
CHH,10.4,2.1,6.4,13.4,24,.579,42-121,7.0
CHH,33.3,3.4,0.0,22.9,52,.500,42-191,29.2
CHH,34.7,5.6,0.0,6.0,25,.798,42-122,12.0
CHH,38.1,0.0,10.7,20.4,68,.512,42-222,23.3
CHH,0.0,0.0,0.0,23.0,48,.798,42-184,25.7
CHH, ,0.0,0.0,0.0,14, ,42-098,0.0
CHH,0.0,0.0,0.0,31.6,34,.000,42-147,19.2
CHH,0.0,4.9,0.0,12.0,61,.500,42-210,27.1
CHH,14.5,0.0,0.0,16.8,54,.595,42-198,25.2
CHH,100.0,0.0,41.0,37.6,13, ,42-094,44.4
CHH,14.3,0.0,0.0,47.8,27,.333,42-129,51.6
CHH,0.0,0.0,12.5,11.8,50,1.000,42-188,14.3
CHH, ,0.0,0.0,0.0,20, ,42-108,0.0
CHH,0.0,0.0,0.0,0.0,73,1.064,42-233,0.0
CHH,16.1,1.9,0.0,19.0,47,.527,42-182,22.6
CHH,26.8,0.0,0.0,33.1,42,.671,42-168,41.8
CHH,50.0,0.0,0.0,6.8,41,.500,42-167,13.2
CHH,0.0,0.0,0.0,8.3,2,.258,42-066,0.0
