SH,OBP,AB,GIDP,G,OPS,Team
0,0.364,19,0,9,0.679,LOW
0,0.588,14,0,4,1.517,VER
1,0.341,195,3,53,0.756,CT
2,0.32,87,1,25,0.63,LOW
0,0.332,230,4,62,0.776,BAT
0,0.321,160,4,43,0.614,BRK
0,0.371,202,4,57,0.816,LOW
2,0.306,209,5,60,0.603,MV
1,0.316,18,0,6,0.649,CT
1,0.222,51,0,17,0.438,TRI
0,0.4,12,0,4,1.567,LOW
1,0.273,239,2,68,0.537,WIL
0,0.332,219,6,62,0.643,BRK
3,0.264,152,5,49,0.553,SI
1,0.351,210,5,57,0.785,ABD
0,0.385,250,11,69,0.857,BRK
0,0.382,272,2,72,0.82,AUB
1,0.328,106,3,27,0.705,CT
0,0.556,14,0,5,1.127,WIL
0,0.339,203,4,58,0.738,LOW
1,0.37,235,9,63,0.787,TRI
3,0.315,120,4,33,0.624,BAT
0,0.3,9,0,4,0.633,WIL
1,0.279,265,3,70,0.611,VER
2,0.315,208,4,58,0.671,CT
0,0.0,4,0,1,0.0,TRI
0,0.245,45,1,14,0.556,WIL
