SH,3B,Player,OPS,OBP,H,R,RBI,HR,SF
0,0,J Langham,.639,.291,26,20,19,4,0
0,0,R Cruz,.769,.319,61,33,40,10,0
6,5,E Tartaglia,.768,.381,81,41,26,1,2
0,1,F Peguero,.772,.354,67,38,46,6,2
0,0,C Cook,.925,.347,53,29,46,15,9
5,5,E Santana,.813,.400,72,51,29,3,0
1,4,W Perez,1.024,.465,46,29,23,2,3
1,0,S Suarez,.702,.323,32,13,19,3,0
2,2,A Larsen,.767,.361,62,41,31,7,1
0,0,M Landry,.779,.375,12,10,8,2,0
0,2,B Mummy,.656,.331,31,25,14,1,0
0,1,B Berglund,.687,.336,41,26,27,4,1
0,0,E Hollis,.695,.372,27,12,8,0,1
2,0,M Loupadiere,.636,.326,22,12,5,0,0
0,0,R Delgado,.899,.423,6,4,1,1,0
4,1,R Nazario,.576,.312,41,24,12,0,0
3,4,D Fowler,.767,.357,60,43,23,4,0
0,3,G Strickland,.608,.291,28,13,7,0,0
0,0,J Turner,.883,.385,59,36,44,12,0
0,0,I De Jesus,.519,.296,15,4,3,0,0
1,0,J Silva,.655,.298,9,4,7,1,0
3,4,J Johnson,.757,.369,31,20,26,2,1
2,0,J Schmidt,.673,.303,37,13,15,1,0
4,6,D Roberts,.793,.327,63,40,29,7,4
0,1,J Howell,.904,.455,47,29,17,1,2
5,0,G Guest,.586,.308,53,21,21,0,5
0,0,S Hayes,.593,.308,12,6,8,0,1
7,8,C McConnell,.919,.403,91,56,39,6,7
0,0,C Blevins,.798,.413,13,6,5,0,1
0,0,M Rodriguez,.495,.279,6,6,3,0,0
1,0,R Rodriguez,.656,.330,23,8,9,1,2
0,2,A Sabatini,.648,.321,46,27,30,2,1
5,3,M Tribble,.729,.351,68,38,31,1,5
2,1,D Jackson,.556,.266,20,17,13,1,0
5,1,J Colafemina,.646,.322,36,30,17,1,1
0,0,H Summers,.580,.308,2,1,0,0,0
0,0,P Brooks,.595,.273,7,4,2,0,0
3,1,J Castillo,.590,.303,39,24,20,1,1
0,0,H Arias,.000,.000,0,0,0,0,0
0,1,B Everett,1.049,.457,39,24,21,5,0
