Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Carlos Asuaje,Low,78,9,26,5,1,0,20,1,0,12,17,0.333,0.415,0.423,0.838
Danny Bethea,Low,55,11,18,2,0,0,17,0,0,4,13,0.327,0.371,0.364,0.735
Kevin Mager,Low,112,15,36,6,3,0,35,1,0,15,28,0.321,0.412,0.429,0.841
Reed Gragnani,Low,23,0,7,2,0,0,4,1,0,2,3,0.304,0.37,0.391,0.762
Jake Romanski,Low,33,2,9,1,0,0,2,0,0,4,6,0.273,0.351,0.303,0.654
Manuel Margot,Low,85,15,23,4,1,1,21,5,3,9,11,0.271,0.33,0.376,0.706
Kendrick Perkins,Low,41,5,11,3,0,1,13,1,0,3,11,0.268,0.318,0.415,0.733
Deiner Lopez,Low,38,7,10,2,0,0,10,4,1,5,7,0.263,0.364,0.316,0.679
Tzu-Wei Lin,Low,98,15,25,4,0,1,20,2,1,12,26,0.255,0.333,0.327,0.66
Williams Jerez,Low,56,5,14,5,1,0,8,2,0,1,10,0.25,0.276,0.375,0.651
Jose Colorado,Low,37,4,9,3,0,0,7,0,0,3,14,0.243,0.286,0.324,0.61
Forrestt Allday,Low,40,4,9,0,0,0,11,2,1,11,7,0.225,0.415,0.225,0.64
Nathan Minnich,Low,36,5,8,2,0,0,8,1,0,4,17,0.222,0.333,0.278,0.611
Aaron King,Low,86,5,19,4,1,1,17,0,2,10,32,0.221,0.296,0.326,0.621
Cleuluis Rondon,Low,59,4,13,0,1,1,10,2,0,3,10,0.22,0.258,0.305,0.563
Nick Moore,Low,88,5,16,2,0,0,14,2,1,6,41,0.182,0.227,0.205,0.431
Zach Kapstein,Low,6,0,1,1,0,0,1,0,0,0,2,0.167,0.167,0.333,0.5
Wendell Rijo,Low,6,0,1,0,0,0,0,0,1,0,1,0.167,0.167,0.167,0.333
Mike Meyers,Low,6,1,1,0,0,0,1,0,0,0,2,0.167,0.167,0.167,0.333
David Sopilka,Low,53,2,7,1,0,0,3,0,0,4,17,0.132,0.2,0.151,0.351
Jantzen Witte,Low,27,2,3,1,0,0,3,0,0,1,8,0.111,0.2,0.148,0.348
Miguel Rodriguez,Low,20,0,2,1,0,0,5,0,0,0,8,0.1,0.1,0.15,0.25
Carson Blair,Low,5,0,0,0,0,0,1,0,0,3,1,0.0,0.333,0.0,0.333
