Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Mookie Betts,SalGre,230,60,88,24,3,9,47,20,1,33,22,0.383,0.46,0.63,1.091
Garin Cecchini,PorSal,202,57,71,18,3,4,36,18,4,51,36,0.351,0.486,0.53,1.016
Xander Bogaerts,PawPor,236,55,65,10,5,11,38,5,1,37,55,0.275,0.375,0.5,0.875
Henry Ramos,Sal,253,49,76,19,7,8,44,8,8,34,54,0.3,0.381,0.526,0.907
Jackie Bradley Jr.,Paw,209,46,63,21,3,7,26,4,4,26,51,0.301,0.398,0.531,0.929
Keury De La Cruz,Sal,294,46,79,25,4,4,60,15,4,20,76,0.269,0.313,0.422,0.735
Jeremy Hazelbaker,Paw,232,46,63,7,2,5,34,26,2,25,73,0.272,0.341,0.384,0.725
Michael Almanzar,Por,255,44,80,14,2,11,54,5,1,26,45,0.314,0.381,0.514,0.894
Shannon Wilkerson,Por,220,44,57,9,4,3,26,16,7,29,43,0.259,0.35,0.377,0.727
Luis Alexander Basabe,DSL,141,43,34,12,2,1,18,13,2,39,34,0.241,0.418,0.376,0.794
Tony Thomas,PawPor,255,42,63,15,3,10,49,10,2,24,63,0.247,0.318,0.447,0.765
Stefan Welch,Sal,168,41,53,13,0,8,32,1,2,28,37,0.315,0.427,0.536,0.963
Deven Marrero,PorSal,229,41,57,15,0,1,17,17,1,26,44,0.249,0.328,0.328,0.656
Christian Vazquez,PawPor,162,38,58,15,1,5,27,5,1,29,17,0.358,0.456,0.556,1.012
Travis Shaw,Por,215,37,53,16,2,9,33,5,1,40,49,0.247,0.369,0.465,0.834
Drew Sutton,Paw,201,37,63,15,1,2,43,4,2,29,41,0.313,0.396,0.428,0.824
J.C. Linares,PawPor,183,37,47,12,2,5,34,0,0,21,52,0.257,0.352,0.426,0.778
Mark Hamilton,PawGCL,180,35,53,17,0,8,46,1,0,28,55,0.294,0.385,0.522,0.907
Blake Swihart,Sal,210,34,69,19,4,1,26,4,3,20,35,0.329,0.386,0.471,0.858
David Chester,SalGre,190,33,69,19,0,13,60,3,0,25,36,0.363,0.437,0.668,1.105
Nick Natoli,3 Teams,170,33,42,12,1,1,24,6,2,33,40,0.247,0.378,0.347,0.725
Brandon Snyder,Paw,164,32,48,12,1,9,30,3,1,12,38,0.293,0.356,0.543,0.898
Heiker Meneses,PawPor,201,32,62,10,5,1,27,10,4,18,40,0.308,0.377,0.423,0.8
Cody Koback,SalGre,176,32,54,9,2,0,20,12,2,14,22,0.307,0.367,0.381,0.748
Aneury Tavarez,Gre,193,31,54,20,5,2,33,11,4,11,56,0.28,0.327,0.466,0.793
