HR,Player,AB,SB,SH,CS,SF,2B,GIDP,H
4,M Kvasnicka,484,5,0,5,2,32,17,126
11,R Flores,468,13,2,2,0,26,5,124
6,J Wong,360,8,11,9,2,20,4,103
12,J Profar,430,23,6,9,4,37,7,123
0,T Snitker,9,0,0,0,0,1,0,2
1,M Franco,65,0,0,0,0,2,4,8
2,R Delgado,74,0,1,0,2,4,1,19
6,K Deglan,291,2,2,0,4,15,3,66
0,E Garcia,6,0,0,0,0,1,0,3
4,C Bethancourt,221,6,0,3,5,10,4,67
2,T Mattair,124,0,1,1,1,8,1,33
8,D Renfroe,387,4,0,3,4,23,7,93
13,D Freitas,427,2,0,1,1,30,17,123
2,B Haney,237,1,2,5,2,11,6,56
3,O Herrera,464,34,7,11,2,26,12,142
22,A Duvall,431,4,1,4,5,30,9,123
1,G Lassiter,212,2,3,1,2,10,5,58
0,K Miramontes,10,0,0,0,0,0,0,1
0,M Rooney,150,5,5,3,1,11,0,38
2,B Kelso,512,23,6,7,4,17,10,150
2,C Alonso,160,2,1,1,1,10,6,50
9,M Tracy,297,4,1,1,3,20,5,76
6,J Arnold,268,2,3,0,1,16,2,57
6,D Hedman,324,9,0,5,2,21,8,88
5,R Pena,281,0,4,0,3,11,13,61
1,D Dominguez,84,3,0,0,1,0,0,15
1,J Cuevas,74,1,0,0,3,5,2,18
14,T Nash,268,2,0,0,2,16,6,72
2,W Tovar,491,15,3,9,7,21,11,123
1,M Lipka,530,28,4,14,5,21,7,131
1,C Willoughby,483,33,7,10,2,18,3,116
2,R Hornback,156,6,6,1,1,7,4,33
0,F De Los Santos,4,0,0,0,0,1,0,1
9,T La Stella,232,2,3,2,4,13,5,76
0,D Burkhart,46,0,0,1,0,2,1,10
0,M Payton,7,0,0,0,0,0,0,1
0,R Ravelo,161,0,0,1,0,9,0,51
3,G Mendez,291,11,3,3,1,15,7,71
6,A Cordero,385,1,4,1,5,15,12,110
3,S Batts,64,1,3,0,1,4,2,12
16,X Bogaerts,265,1,0,3,4,14,4,69
11,A Selen,214,1,2,1,1,14,7,63
3,C Blair,100,0,0,0,1,8,3,19
2,J Bonadonna,163,13,4,3,2,6,2,32
4,J Dalles,104,0,0,0,1,4,1,21
5,D Black,415,32,8,10,4,18,6,116
2,R Shields,226,9,5,4,4,20,7,62
6,M Machado,145,3,0,1,1,8,8,40
9,M Curry,155,6,0,2,3,15,1,56
5,A Dudley,213,2,0,2,1,9,4,59
0,J Morales,9,0,0,0,0,0,1,3
3,W Gimenez,251,0,0,1,4,13,5,63
6,T Burnett,366,21,2,3,0,16,5,91
2,G Ngoepe,85,3,1,3,0,5,1,26
4,E Duran,401,15,13,7,7,8,9,94
0,C Jones,3,0,0,0,1,0,0,1
5,J Mier,216,6,0,2,3,14,1,53
0,C Ahearn,21,0,1,0,0,0,1,5
0,S Starr,31,0,1,2,0,0,1,6
18,D Black,510,7,0,5,6,41,10,146
9,B Forsythe,370,0,0,1,6,24,8,87
0,J Kang,76,1,1,1,0,2,2,14
3,E Adrianza,143,3,6,2,1,10,4,33
6,J Murphy,256,2,0,0,2,23,7,76
9,K Roller,187,1,0,0,1,18,5,57
0,C Murphy,30,0,0,1,0,0,0,4
2,J Farnham,142,2,1,1,0,8,3,33
12,E Salcedo,508,23,4,10,3,27,10,126
16,C Garcia,348,1,0,1,3,24,10,106
