GS,TRB%,Date,STL%,Age
0,0.0,1987-02-12,7.6,25-109
0,0.0,1987-04-11,3.3,25-167
0,6.5,1987-02-25,6.0,25-122
0,0.0,1987-02-10,0.0,25-107
0,0.0,1987-04-18,8.6,25-174
0,0.0,1986-12-20,6.0,25-055
0,6.3,1987-04-16,0.0,25-172
0,14.6,1987-03-07,4.2,25-132
0,0.0,1987-04-13,3.2,25-169
0,17.3,1987-04-14,0.0,25-170
0,8.0,1987-01-04,0.0,25-070
0,8.5,1987-01-27,1.6,25-093
1,1.6,1986-12-27,1.4,25-062
0,10.0,1987-03-28,0.0,25-153
0,10.7,1987-03-24,5.6,25-149
0,9.2,1987-01-12,1.9,25-078
0,0.0,1987-03-14,0.0,25-139
0,5.2,1987-01-06,0.0,25-072
0,5.7,1987-04-06,0.0,25-162
0,11.8,1987-01-10,12.4,25-076
0,4.7,1987-01-13,0.0,25-079
0,6.2,1987-01-15,0.0,25-081
0,0.0,1987-02-16,0.0,25-113
0,0.0,1987-02-04,0.0,25-101
