R,RBI,G,SO,OPS,Team,SF,SH,CS
1,1,4,1,0.321,FRE,0,0,0
55,51,85,70,0.987,REN,3,1,0
6,3,11,8,0.643,FRE,0,1,0
22,22,49,44,0.676,IOW,1,2,0
1,0,2,3,0.5,RR,0,0,0
49,34,91,36,0.784,TUC,8,2,3
9,12,25,13,0.587,TUC,0,0,1
1,0,4,1,0.267,TAC,0,0,0
10,4,17,16,0.576,SAC,0,0,0
46,39,69,44,0.911,MEM,5,0,0
9,14,18,16,0.799,LAS,2,0,1
20,18,35,19,0.763,LAS,0,0,3
9,9,19,17,0.723,COL,0,1,1
64,101,93,89,1.056,TUC,8,0,6
18,15,21,25,0.879,OKC,0,0,1
64,61,69,53,1.076,LAS,1,4,2
11,9,25,18,0.708,OMA,2,0,4
31,32,46,37,0.856,SAC,1,0,1
86,92,101,94,1.034,REN,3,0,3
66,68,123,51,0.828,NEW,2,1,3
24,27,54,24,0.71,SAC,2,0,2
0,0,1,1,1.0,OMA,0,0,0
60,53,123,79,0.823,IOW,7,1,1
2,1,4,0,1.0,REN,0,0,0
51,55,126,117,0.756,OKC,3,0,2
8,14,26,11,0.564,SAC,2,0,0
41,58,61,36,0.89,COL,1,0,1
2,0,8,7,0.68,SAC,0,0,0
2,5,4,4,0.808,SLC,0,0,0
121,104,138,170,0.821,TAC,10,2,1
71,83,129,116,0.861,TUC,13,1,2
30,29,41,38,0.856,LAS,1,0,0
61,70,130,68,0.88,MEM,6,3,4
1,0,4,8,0.464,ALB,0,0,0
21,15,26,16,1.107,OMA,1,0,0
1,2,2,3,0.762,FRE,0,0,0
36,49,75,59,0.947,ALB,2,0,0
2,4,19,11,0.51,NAS,1,1,1
20,17,35,30,0.77,TUC,2,1,0
45,36,78,61,0.788,IOW,4,1,1
84,109,133,100,0.817,MEM,4,0,1
77,96,120,43,0.974,LAS,9,0,3
80,109,134,104,0.814,RR,8,0,0
7,6,17,8,0.815,NAS,0,1,0
40,57,63,42,0.951,TUC,1,2,4
2,3,3,2,0.929,COL,0,0,0
