sa/s,s,Rk,b/s,a/s,ta
0.08,104,46,0.0,0.28,15
0.24,119,11,0.03,0.26,125
0.0,123,11,0.63,0.03,671
0.22,116,24,0.0,0.16,96
0.31,110,36,0.61,0.05,730
0.02,103,36,0.49,0.03,412
0.03,133,1,0.89,0.04,782
0.0,109,31,0.53,0.01,459
0.0,113,24,0.64,0.04,390
0.26,124,11,0.35,0.08,973
0.27,97,31,0.11,0.3,222
0.01,132,1,0.51,0.07,1070
0.08,122,14,0.55,0.11,502
0.11,109,14,0.37,0.07,547
0.08,85,36,0.26,3.73,149
0.32,110,36,0.0,0.17,128
0.21,107,36,0.64,0.13,427
0.02,117,14,0.52,0.11,658
0.42,102,36,0.0,0.15,38
0.03,107,31,0.82,0.09,443
0.36,105,46,0.1,10.17,114
