Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,3,102.00K,0.00K
JEFFERSONTOWN,JEFFERSON CO.,KY,08/16/2007,15:28,EST-5,Hail,1.25 in.,0,0,0.00K,0.00K
GOSHEN,OLDHAM CO.,KY,08/16/2007,15:30,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
O BANNON,JEFFERSON CO.,KY,08/16/2007,15:38,EST-5,Thunderstorm Wind,61 kts. EG,0,0,0.00K,0.00K
HARRODS CREEK,JEFFERSON CO.,KY,08/16/2007,15:45,EST-5,Hail,1.00 in.,0,0,0.00K,0.00K
BEDFORD,TRIMBLE CO.,KY,08/16/2007,15:54,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
PARIS,BOURBON CO.,KY,08/16/2007,16:05,EST-5,Thunderstorm Wind,50 kts. EG,0,1,5.00K,0.00K
MILTON,TRIMBLE CO.,KY,08/16/2007,16:10,EST-5,Thunderstorm Wind,60 kts. EG,0,2,10.00K,0.00K
PARIS,BOURBON CO.,KY,08/16/2007,16:10,EST-5,Thunderstorm Wind,60 kts. EG,0,0,50.00K,0.00K
GEORGETOWN,SCOTT CO.,KY,08/16/2007,16:17,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
CURRENTSVILLE,BOURBON CO.,KY,08/16/2007,16:18,EST-5,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
CYNTHIANA,HARRISON CO.,KY,08/16/2007,16:20,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
MILTON,TRIMBLE CO.,KY,08/16/2007,16:20,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
MILTON,TRIMBLE CO.,KY,08/16/2007,16:22,EST-5,Hail,0.88 in.,0,0,0.00K,0.00K
MILTON,TRIMBLE CO.,KY,08/16/2007,16:25,EST-5,Thunderstorm Wind,56 kts. EG,0,0,2.00K,0.00K
GEORGETOWN,SCOTT CO.,KY,08/16/2007,16:30,EST-5,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
JEFFERSONTOWN,JEFFERSON CO.,KY,08/16/2007,16:37,EST-5,Lightning, ,0,0,10.00K,0.00K
AUDUBON PARK,JEFFERSON CO.,KY,08/16/2007,16:38,EST-5,Hail,0.75 in.,0,0,0.00K,0.00K
GOSHEN,OLDHAM CO.,KY,08/16/2007,16:55,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
MILLER,NICHOLAS CO.,KY,08/16/2007,16:55,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
CYNTHIANA,HARRISON CO.,KY,08/16/2007,17:00,EST-5,Thunderstorm Wind,55 kts. EG,0,0,25.00K,0.00K
SHELBYVILLE,SHELBY CO.,KY,08/16/2007,17:09,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
CYNTHIANA,HARRISON CO.,KY,08/16/2007,17:10,EST-5,Hail,1.00 in.,0,0,0.00K,0.00K
EMINENCE,HENRY CO.,KY,08/16/2007,17:16,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
BURGIN,MERCER CO.,KY,08/16/2007,17:21,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
POLSGROVE,FRANKLIN CO.,KY,08/16/2007,17:40,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
LEXINGTON,FAYETTE CO.,KY,08/16/2007,18:00,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
RICHMOND,MADISON CO.,KY,08/16/2007,18:10,EST-5,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,3,102.00K,0.00K
