BLK%,AST%,DRB%,Opp,eFG%
6.5,0.0,11.5,NJN,.000
0.0,0.0,36.0,ORL,1.000
0.0,0.0,25.6,SAC, 
0.0,17.2,5.2,ATL,1.000
0.0,0.0,44.8,IND,.625
0.0,15.4,23.5,DEN,.800
14.5,0.0,9.3,MIA,1.000
4.6,0.0,9.7,ORL,1.000
8.8,0.0,20.8,MIN,.500
2.2,5.6,33.9,SAC,.625
0.0,0.0,18.0,PHI,.667
3.8,0.0,52.5,IND,.400
5.7,9.5,9.3,MIA,.286
0.0,15.8,16.8,CLE,.400
0.0,24.5,5.8,CHH,.500
0.0,8.3,31.0,CLE,.750
0.0,0.0,52.9,NJN,1.000
0.0,0.0,44.7,IND,.400
0.0,14.0,27.9,CHH,.000
0.0,0.0,30.0,NJN,.500
4.6,0.0,17.6,SEA,.800
2.6,0.0,39.1,CHH,.500
0.0,0.0,24.2,NYK,.333
4.7,4.1,38.4,MIN,1.000
6.8,8.1,39.1,LAC,.571
0.0,0.0,25.3,CHH,.375
9.7,23.7,20.4,MIL,.571
2.7,0.0,21.2,ATL,.500
0.0,0.0,26.1,PHO, 
2.8,0.0,26.6,BOS,.667
0.0,27.1,45.3,PHO,.333
0.0,0.0,47.1,MIL,.375
3.6,0.0,23.1,BOS,1.000
7.2,0.0,24.8,NYK,.333
0.0,0.0,21.3,LAC,.000
2.5,7.4,34.8,DET,.429
12.4,6.5,18.2,NJN,.750
4.3,9.0,38.2,MIL,.667
5.9,5.8,17.6,WSB,.667
5.8,0.0,11.5,WSB,1.000
5.5,9.4,25.2,PHI,.000
