Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Mar 14,vs. Edgewood College (Wis.),"W, 4-3",2,0,0,-,-,-,0,-,-,-,-
Mar 14,vs. Edgewood College (Wis.),"W, 2-1",4,0,0,-,-,-,0,-,-,1,-
Mar 15,vs. SUNY Plattsburgh,"L, 5-4",2,0,0,-,-,-,0,1,1,-,-
Mar 16,vs. University of Wisconsin-Stout,"L, 8-4",3,0,2,-,-,-,1,-,-,-,-
Mar 18,vs. St. Joseph's College (L.I.),"W, 5-3",2,0,0,-,-,-,0,1,-,-,-
Mar 18,vs. St. Joseph's College (L.I.),"W, 9-7",4,0,0,-,-,-,0,-,-,-,-
Mar 19,vs. Johns Hopkins University,"L, 5-4",2,0,0,-,-,-,0,-,2,-,-
Mar 20,vs. Bethel University (Minn.),"W, 8-7",0,0,0,-,-,-,0,-,-,-,-
Mar 21,vs. University of Dubuque (Iowa),"L, 5-4",3,1,2,-,-,-,0,-,-,-,-
Mar 29,at Eastern Connecticut State University,"L, 3-0",2,0,0,-,-,-,0,-,-,-,-
Mar 29,at Eastern Connecticut State University,"W, 3-2",3,0,0,-,-,-,0,-,-,-,-
Apr 2,at Salem State University,"L, 8-4",-,-,-,-,-,-,-,-,-,-,-
Apr 3,at Westfield State University,"W, 16-13",0,1,0,-,-,-,0,1,-,-,-
Apr 4,at Worcester State University,"W, 7-3",2,0,0,-,-,-,1,-,1,-,-
Apr 6,at Western Connecticut State University,"W, 10-6",5,1,1,-,-,-,0,-,2,2,-
Apr 6,at Western Connecticut State University,"L, 10-7",3,1,1,1,-,-,1,1,1,-,-
Apr 8,at Salem State University,"L, 13-3",1,0,0,-,-,-,0,-,-,-,-
Apr 9,Framingham State University,"L, 6-5",3,0,0,-,-,-,0,-,1,-,-
Apr 10,at Babson College,"L, 17-6",1,1,1,-,-,-,0,2,-,-,-
Apr 12,UMass Dartmouth,"W, 8-4",4,0,0,-,-,-,0,-,-,-,-
Apr 12,UMass Dartmouth,"L, 10-4",2,1,0,-,-,-,0,2,-,-,-
Apr 14,University of Southern Maine,"L, 13-6",2,1,0,-,-,-,0,1,-,-,-
Apr 16,Roger Williams University,"W, 4-3",2,0,0,-,-,-,0,-,-,-,-
Apr 17,College of Mount Saint Vincent,"L, 11-1",-,-,-,-,-,-,-,-,-,-,-
Apr 18,Western New England University,"W, 8-7",1,0,0,-,-,-,0,-,-,-,-
Apr 19,Keene State College,"W, 6-3",2,1,0,-,-,-,0,1,-,-,-
Apr 19,Keene State College,"L, 5-1",2,0,0,-,-,-,0,-,1,-,-
Apr 21,at Curry College,"L, 4-3",4,0,0,-,-,-,1,-,-,-,-
Apr 22,at University of Southern Maine,"L, 7-4",2,0,1,-,-,-,0,-,-,-,1
Apr 24,at MIT,"L, 13-12",3,1,1,-,-,-,0,1,-,1,-
Apr 25,at Plymouth State University,"W, 7-4",4,1,2,-,-,-,0,1,-,1,-
Apr 25,at Plymouth State University,"L, 6-4",4,1,2,1,-,-,1,-,-,-,-
Apr 28,at Endicott College,"L, 8-7",3,1,1,-,-,-,0,1,-,-,-
Apr 29,at Wheaton College (Mass.),"L, 5-4",3,1,1,-,-,-,0,1,-,1,-
Apr 30,at Saint Joseph's College (Me.),"W, 6-5",4,0,0,-,-,-,0,-,2,-,-
May 2,Rhode Island College,"W, 11-1",3,1,3,-,-,-,0,-,-,-,-
May 2,Rhode Island College,"W, 5-4",3,1,1,-,-,-,0,-,1,-,-
May 4,at Amherst College,"L, 7-3",2,0,1,1,-,-,0,-,-,-,-
May 4,at Amherst College,"L, 13-5",3,1,1,-,-,-,0,-,-,-,-
May 7,vs. UMass Dartmouth,"L, 7-5",4,0,1,-,-,-,0,-,1,-,-
May 8,Eastern Connecticut State University,"L, 10-5",2,0,0,-,-,-,0,1,-,-,-
