SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1987 - 1988,Färjestad BK,SHL,40,17,6,17,-,-,167,143,40,6,Champion
1988 - 1989,Färjestad BK,SHL,40,20,2,18,-,-,161,153,42,5,Quarterfinal loss
1989 - 1990,Färjestad BK,SHL,40,28,3,9,-,-,196,117,59,1,Final loss
1990 - 1991,Färjestad BK,SHL,40,20,8,12,-,-,161,127,48,2,Final loss
1991 - 1992,Färjestad BK,SHL,40,20,9,11,-,-,189,139,49,1,Semifinal loss
1992 - 1993,Färjestad BK,SHL,40,19,5,16,-,-,158,133,43,4,Quarterfinal loss
1993 - 1994,Färjestad BK,SHL,22,7,4,11,-,-,66,73,18,11,Saved in relegation
 ,Färjestad BK,Allsvenskan,18,11,5,2,-,-,75,36,27,1,Saved in relegation
1994 - 1995,Färjestad BK,SHL,40,17,6,17,-,-,128,135,40,6,Quarterfinal loss
1995 - 1996,Färjestad BK,SHL,40,20,6,14,-,-,150,117,46,3,Semifinal loss
1996 - 1997,Färjestad BK,SHL,50,26,8,16,-,-,148,132,60,3,Champion
1997 - 1998,Färjestad BK,SHL,46,24,10,12,-,-,154,112,58,2,Champion
1998 - 1999,Färjestad BK,SHL,50,23,9,15,0,3,147,137,81,2,Quarterfinal loss
1999 - 2000,Färjestad BK,SHL,50,22,0,18,5,5,168,142,81,7,Quarterfinal loss
2000 - 2001,Färjestad BK,SHL,50,27,0,15,4,4,198,157,93,2,Final loss
2001 - 2002,Färjestad BK,SHL,50,33,0,7,9,1,182,100,118,1,Champion
2002 - 2003,Färjestad BK,SHL,50,27,0,13,3,7,180,134,94,2,Final loss
2003 - 2004,Färjestad BK,SHL,50,24,0,14,6,6,161,129,90,2,Final loss
2004 - 2005,Färjestad BK,SHL,50,26,7,13,3,1,137,108,92,4,Final loss
2005 - 2006,Färjestad BK,SHL,50,23,3,16,4,4,134,116,84,4,Champion
2006 - 2007,Färjestad BK,SHL,55,26,7,13,5,4,197,145,99,1,Semifinal loss
2007 - 2008,Färjestad BK,SHL,55,25,5,19,3,3,169,147,89,4,Semifinal loss
2008 - 2009,Färjestad BK,SHL,55,30,4,17,1,3,158,122,99,1,Champion
2009 - 2010,Färjestad BK,SHL,55,25,3,20,2,5,132,144,87,5,Quarterfinal loss
2010 - 2011,Färjestad BK,SHL,55,27,-,19,6,3,154,124,96,2,Champion
2011 - 2012,Färjestad BK,SHL,55,23,-,18,4,10,124,124,87,6,Semifinal loss
2012 - 2013,Färjestad BK,SHL,55,27,-,14,7,7,155,110,102,2,Semifinal loss
2013 - 2014,Färjestad BK,SHL,55,21,-,19,7,8,143,134,85,5,Final loss
2014 - 2015,Färjestad BK,SHL,55,21,-,20,6,8,128,135,83,7,Eight final loss
2015 - 2016,Färjestad BK,SHL,-,-,-,-,-,-,-,-,-,-,-
