Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 7,at St. Thomas (Minn.),"L, 52-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 14,at Saint John's (Minn.),"L, 17-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 28,Pacific Lutheran (Wash.),"L, 21-19",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 5,at UW-Platteville,"L, 49-27",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 12,UW-Stevens Point,"L, 23-17",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 18,at UW-Whitewater,"L, 42-0",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 26,UW-River Falls,"W, 13-6",1,1,2,-,-,0,-,-,-,-,-,-,-,-
Nov 2,at UW-Stout,"L, 35-27",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 9,UW-Oshkosh,"L, 42-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 16,at UW-La Crosse,"W, 24-21",0,1,1,-,-,0,-,-,-,-,-,-,-,-
