FirstA,A/60,GP,A,IAP,TOI,G/60,Team
1,1.67,80,3,33.3,107:57,0.56,Calgary
1,1.21,58,3,17.6,149:07,1.61,Toronto
5,3.87,64,13,56.5,201:39,1.79,Calgary
1,0.59,68,1,33.3,102:05,0.00,Carolina
1,1.02,69,3,21.4,176:40,0.68,Buffalo
2,2.49,61,5,50.0,120:40,1.99,Los Angeles
2,2.96,57,3,50.0,60:44,0.00,Tampa Bay
4,1.46,78,7,26.9,286:48,1.05,Los Angeles
8,2.94,82,10,45.5,204:20,2.06,Winnipeg
0,1.08,65,1,50.0,55:47,0.00,Florida
3,2.08,82,5,50.0,144:07,0.42,Winnipeg
0,0.00,52,0,0.0,76:19,0.00,Detroit
6,3.44,69,11,52.4,191:49,0.94,Dallas
0,0.00,52,0,0.0,65:44,0.91,Anaheim
2,2.41,65,4,44.4,99:25,0.60,Detroit
7,2.56,72,9,40.9,210:33,2.28,Buffalo
4,2.07,65,6,31.6,173:44,1.38,Arizona
4,2.41,63,7,46.7,174:34,2.06,Calgary
4,1.82,67,5,38.5,164:33,0.36,Edmonton
3,1.39,71,6,22.2,259:50,1.15,NY Islanders
0,0.00,76,0,0.0,122:10,1.47,New Jersey
16,4.47,82,26,60.5,349:14,0.52,Arizona
1,2.16,80,9,34.6,249:36,0.48,Toronto
5,2.20,69,6,25.0,163:37,2.20,Toronto
7,3.09,70,12,54.5,233:21,1.03,Vancouver
6,2.60,79,9,33.3,207:22,0.87,St. Louis
2,1.39,37,3,16.7,129:35,3.70,Tampa Bay
8,3.08,78,13,48.1,253:26,1.89,Winnipeg
3,3.37,68,4,57.1,71:14,1.68,Carolina
0,0.00,79,0,0.0,111:56,0.54,Buffalo
0,0.51,70,1,14.3,117:44,1.02,Columbus
4,2.24,37,5,29.4,133:44,2.24,Pittsburgh
1,0.70,56,1,16.7,86:03,1.39,Columbus
0,1.01,78,2,22.2,119:08,0.50,St. Louis
7,3.86,71,10,62.5,155:15,1.16,Colorado
4,2.31,65,8,34.8,207:43,1.16,San Jose
9,4.12,82,17,42.5,247:37,1.21,Washington
4,2.30,65,5,50.0,130:18,0.92,Montreal
4,3.63,58,5,38.5,82:32,2.18,Washington
7,5.07,60,12,63.2,142:04,1.27,New Jersey
6,2.51,80,13,31.7,311:15,1.54,Arizona
1,0.43,62,1,20.0,139:59,1.29,Florida
1,0.58,79,1,20.0,103:03,1.16,Dallas
0,0.00,73,0,0.0,92:33,0.00,NY Islanders
12,3.84,77,16,48.5,249:43,0.24,Philadelphia
3,2.05,82,9,17.6,262:52,2.74,Washington
8,2.98,81,17,48.6,342:04,0.35,Montreal
3,3.22,41,6,50.0,111:42,0.54,Los Angeles
5,2.04,82,9,21.4,264:30,3.18,Philadelphia
1,0.47,78,1,20.0,127:12,0.94,Vancouver
3,1.10,82,4,30.8,218:15,1.10,Los Angeles
0,0.77,81,1,33.3,78:25,0.77,Winnipeg
0,0.00,66,0,0.0,53:25,0.00,Columbus
4,2.55,66,6,42.9,141:09,2.13,NY Rangers
1,0.88,36,1,20.0,68:29,1.75,Detroit
3,1.24,79,3,42.9,145:17,0.00,Vancouver
2,1.66,62,3,23.1,108:08,1.66,Philadelphia
6,1.81,71,6,27.3,199:22,2.41,Carolina
4,2.73,63,8,44.4,175:40,1.37,Vancouver
6,3.70,78,11,61.1,178:30,2.02,Toronto
1,0.65,82,2,13.3,184:36,0.98,New Jersey
4,1.51,80,6,25.0,237:49,2.27,Toronto
2,1.17,73,3,30.0,154:12,0.78,Florida
1,1.64,81,5,33.3,183:06,1.31,Colorado
5,1.71,73,6,26.1,210:33,2.56,Montreal
4,1.85,69,4,40.0,129:53,1.39,Ottawa
2,2.87,76,7,58.3,146:31,0.41,Vancouver
8,4.04,79,15,65.2,222:40,0.00,Toronto
3,2.06,72,5,27.8,145:55,1.23,Chicago
3,2.58,78,6,54.5,139:34,0.86,Chicago
4,3.13,82,9,60.0,172:28,0.35,St. Louis
2,2.19,49,4,40.0,109:44,1.09,Vancouver
2,1.10,79,3,20.0,164:13,0.37,Los Angeles
4,2.42,80,10,37.0,247:53,0.73,Arizona
3,1.70,82,5,35.7,176:21,1.36,Philadelphia
1,1.00,75,2,33.3,119:28,0.00,Philadelphia
16,7.64,82,36,69.2,282:54,1.27,Washington
4,2.32,76,8,33.3,207:09,1.45,Nashville
0,0.00,71,0,0.0,91:27,0.00,Anaheim
4,2.23,80,9,40.9,242:33,1.48,Buffalo
1,1.14,78,3,23.1,157:32,0.38,Anaheim
1,2.68,55,3,33.3,67:10,0.00,Anaheim
1,1.71,65,4,21.1,140:17,2.14,Tampa Bay
2,1.94,82,5,38.5,154:38,0.78,Tampa Bay
0,1.16,64,1,33.3,51:44,1.16,Arizona
1,1.95,41,3,50.0,92:09,0.65,Carolina
4,2.61,71,6,40.0,137:49,0.00,Tampa Bay
4,2.83,67,4,44.4,84:57,0.71,Nashville
3,3.83,70,6,54.5,93:57,0.64,Ottawa
2,1.87,82,5,23.8,160:37,2.24,Toronto
3,1.24,64,3,37.5,145:35,1.24,Anaheim
2,0.85,82,2,28.6,140:39,2.13,St. Louis
5,3.18,82,11,52.4,207:37,1.16,Philadelphia
9,2.74,80,13,40.6,284:53,2.11,Dallas
1,1.60,75,4,30.8,149:38,0.80,Calgary
11,2.87,82,13,35.1,271:23,3.32,San Jose
0,0.93,80,1,33.3,64:33,0.93,Edmonton
9,3.88,59,14,37.8,216:24,2.50,Pittsburgh
1,0.31,81,1,4.5,192:46,2.18,Montreal
3,2.08,77,5,29.4,144:22,0.83,Nashville
2,1.89,81,7,28.0,222:20,1.89,New Jersey
4,1.43,79,4,23.5,167:47,1.43,Columbus
3,2.08,78,4,50.0,115:14,0.52,Los Angeles
7,2.67,82,13,40.6,292:33,0.41,Minnesota
1,1.51,79,4,23.5,159:24,3.01,Nashville
4,2.27,81,8,42.1,211:30,1.13,Vancouver
1,1.60,63,3,27.3,112:48,0.53,Buffalo
4,2.39,70,9,39.1,225:43,1.06,Anaheim
15,4.75,60,21,52.5,264:59,1.36,Pittsburgh
5,1.95,76,6,40.0,184:58,0.97,Minnesota
1,2.35,76,6,37.5,153:01,0.39,Carolina
