ORB%,MP,DRB%,TS%,Opp,G,Date,eFG%,TRB%
5.0,22:20,23.0,.450,PHI,51,2006-04-19,.500,12.1
6.5,16:53,17.8,.600,NYK,7,2005-11-23,.600,11.2
13.3,27:45,30.5,.666,NYK,50,2006-04-17,.727,21.3
8.6,11:12,45.1,.512,SAC,8,2005-11-29,.375,24.4
0.0,13:16,10.3,.600,UTA,28,2006-03-01,.600,5.2
5.8,19:41,26.4,.571,LAC,27,2006-02-27,.571,15.4
0.0,7:26,15.0,.000,DAL,29,2006-03-03,.000,6.9
15.5,24:48,30.6,.269,WAS,35,2006-03-15,.286,22.0
17.8,20:11,6.4,.286,MIA,15,2006-01-27,.286,12.4
0.0,14:10,7.9,.400,ORL,3,2005-11-15,.400,3.9
20.8,8:07,0.0,.258,BOS,10,2006-01-04,.000,14.1
5.5,16:36,9.3,.429,MIA,2,2005-11-12,.429,6.9
0.0,17:21,0.0,.667,ATL,18,2006-02-01,.667,0.0
6.9,13:52,30.8,.333,PHI,21,2006-02-08,.333,18.2
0.0,12:09,25.2,.750,PHO,26,2006-02-25,.750,13.0
0.0,14:51,27.7,.600,MIN,6,2005-11-19,.600,12.3
12.8,17:00,6.9,.565,LAL,19,2006-02-03,.500,10.0
10.9,12:35,10.6,.600,SEA,20,2006-02-06,.600,10.7
5.6,18:07,24.8,.429,SAS,13,2006-01-24,.429,13.4
6.8,15:36,17.1,.563,DAL,1,2005-11-11,.500,11.4
10.1,27:44,8.1,.556,IND,49,2006-04-15,.556,9.2
16.8,12:43,18.0,.205,GSW,31,2006-03-08,.000,17.4
10.3,18:39,6.4,.751,DEN,25,2006-02-21,.667,8.6
8.2,15:45,20.3,.000,HOU,14,2006-01-25,.000,14.9
11.5,16:21,35.8,.340,NJN,45,2006-04-06,.200,22.3
