Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
J Leblanc,ANG,OF,.111,2,9,1,1,1,0,0,2,0,4,1,0,0,0,1,.111,.222,.333
T Gregorio,ANG,C,.167,4,12,1,2,0,0,0,1,0,3,0,0,0,0,0,.231,.167,.397
D Pruitt,ANG,C,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000
C Fuller,ANG,OF,.210,19,62,14,13,3,3,0,6,12,12,5,3,0,1,0,.375,.355,.730
J Silva,ANG,3B,.222,10,36,2,8,3,1,0,2,1,8,1,0,0,0,1,.263,.361,.624
D McPherson,ANG,3B,.222,3,9,1,2,1,1,0,2,0,5,0,0,0,0,0,.222,.556,.778
R Quinlan,ANG,3B,.250,4,12,3,3,2,0,0,3,2,3,1,0,0,1,0,.333,.417,.750
M Maldonado,ANG,C,.256,27,86,6,22,2,0,0,10,2,9,0,0,1,1,3,.278,.279,.557
D Matranga,ANG,2B,.000,3,10,0,0,0,0,0,0,0,6,0,0,0,0,0,.000,.000,.000
L Merloni,ANG,2B,.333,6,15,3,5,1,0,0,2,2,2,0,0,0,0,0,.412,.400,.812
R Bambino,ANG,C,.179,16,39,5,7,2,0,0,6,0,9,0,0,1,1,0,.195,.231,.426
T Johnson,ANG,LF,.265,47,166,23,44,10,1,3,23,13,64,9,3,0,2,4,.326,.392,.718
A Nieves,ANG,SS,.273,23,66,17,18,3,0,0,7,13,19,3,0,0,0,2,.407,.318,.726
M Ryan,ANG,1B,.261,45,165,26,43,12,2,3,22,17,46,3,0,0,0,2,.330,.412,.742
G Harper,ANG,LF,.239,32,113,8,27,5,1,1,6,5,31,0,1,0,0,3,.289,.327,.617
M Edwards,ANG,C,.284,27,81,13,23,4,2,3,17,12,26,2,4,0,2,1,.381,.494,.875
L Rivera,ANG,LF,.280,42,132,25,37,9,4,0,15,16,43,8,2,0,0,3,.362,.409,.772
R Mount,ANG,SS,.216,29,102,15,22,7,1,1,17,17,31,4,1,0,3,2,.325,.333,.659
L Infante,ANG,2B,.227,36,119,17,27,4,1,3,13,16,22,5,3,2,0,2,.324,.353,.676
P Phillips,ANG,SS,.291,49,182,25,53,6,6,1,24,9,53,13,5,0,2,0,.328,.407,.735
J Moore,ANG,OF,.227,34,110,15,25,3,1,0,11,11,46,12,6,2,0,3,.303,.273,.576
D Sales,ANG,1B,.282,31,103,15,29,9,2,1,11,14,31,2,1,0,1,2,.375,.437,.812
R Angoma,BRE,C,.273,8,22,5,6,2,0,0,3,1,5,1,0,0,0,1,.304,.364,.668
S McKnight,BRE,SS,.275,11,40,7,11,0,0,0,4,4,8,1,1,1,0,0,.356,.275,.631
A Ayala,BRE,1B,.147,12,34,1,5,2,0,0,4,7,9,1,1,0,0,1,.293,.206,.499
T Festa,BRE,3B,.442,12,43,11,19,5,3,1,10,3,4,1,0,1,0,0,.510,.767,1.278
J Jimenez,BRE,3B,.299,47,187,26,56,14,3,2,33,16,38,2,0,0,0,6,.361,.439,.799
M Brantley,BRE,CF,.347,44,173,34,60,3,1,0,19,22,13,14,5,4,0,2,.426,.376,.802
M Parejo,BRE,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--
B Dennis III,BRE,C,.296,25,71,8,21,6,0,0,6,7,16,1,2,2,0,1,.367,.380,.747
