Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
1,Yasmin Boishakhi,26 years,Bangladesh Women,2,1,0,1,1,1.00,0,0
2,Shukhtara Rahman,22 years,Bangladesh Women,2,2,0,38,37,19.00,0,0
3,Shauna Kavanagh,23 years,Ireland Women,2,1,1,2,2,--,0,0
4,Sharmin Akhter,19 years,Bangladesh Women,2,1,0,1,1,1.00,0,0
5,Sana Mir,30 years,Pakistan Women,2,1,0,29,29,29.00,0,0
6,Salma Khatun,25 years,Bangladesh Women,2,2,1,5,5,5.00,0,0
7,Sadia Yousuf,26 years,Pakistan Women,2,0,0,0,0,--,0,0
8,Rumana Ahmed,24 years,Bangladesh Women,2,2,0,20,20,10.00,0,0
9,Ritu Moni,--,Bangladesh Women,2,1,1,23,23,--,0,0
10,Qanita Jalil,37 years,Pakistan Women,2,2,0,54,42,27.00,0,0
11,Panna Ghosh,26 years,Bangladesh Women,1,0,0,0,0,--,0,0
12,Nida Dar,29 years,Pakistan Women,2,2,0,29,15,14.50,0,0
13,Nain Abidi,30 years,Pakistan Women,2,2,1,116,101,116.00,1,0
14,Nahida Khan,29 years,Pakistan Women,2,0,0,0,0,--,0,0
15,Melissa Scott-Hayward,25 years,Ireland Women,2,2,0,2,2,1.00,0,0
16,Mary Waldron,31 years,Ireland Women,2,2,0,13,8,6.50,0,0
17,Marina Iqbal,28 years,Pakistan Women,2,1,1,2,2,--,0,0
18,Louise McCarthy,22 years,Ireland Women,2,2,1,2,1,2.00,0,0
19,Laura Delany,23 years,Ireland Women,2,2,0,19,13,9.50,0,0
20,Lata Mondal,23 years,Bangladesh Women,2,2,1,27,19,27.00,0,0
