Rdp,Salary,oWAR,Acquired,Age,Rbat,PA
1,"$109,000",0.0,Free Agency,31,-5,130
0,"$109,000",-0.5,Traded,25,-6,38
0,"$385,000",0.1,Amateur Draft,28,-13,287
0, ,-0.1,Traded,34,-3,39
-0,"$109,000",0.2,Free Agency,29,1,46
0,"$159,000",0.0,Free Agency,30,0,0
0,"$109,000",0.0,Traded,26,0,0
0,"$310,000",0.1,Free Agency,32,-7,150
0, ,-0.0,Free Agency,32,-0,6
0, ,0.0,Traded,24,0,0
-1,"$109,000",-0.3,Traded,22,-4,39
0,"$149,000",0.2,Free Agency,25,-1,55
0,"$310,000",0.3,Free Agency,32,2,67
0,"$750,000",0.0,Free Agency,32,0,0
0,"$220,000",0.0,Amateur Draft,30,0,0
0,"$465,000",0.0,Waivers,27,0,0
0,"$109,000",0.0,Amateur Draft,21,0,0
1,"$109,000",-0.1,Amateur Draft,26,-2,47
0, ,0.0,Traded,23,0,0
0,"$109,000",-0.0,Amateur Draft,21,-0,4
-0,"$250,000",0.7,Free Agency,33,-3,324
0,"$109,000",0.0,MinorLg Draft,25,0,0
-0,"$435,000",-1.1,Amateur Draft,27,-14,242
0,"$3,300,000",0.0,Amateur Draft,27,0,0
-0,"$109,000",-0.6,Amateur Draft,25,-8,76
-0, ,-0.3,Traded,31,-6,101
-0, ,0.1,Free Agency,32,1,17
1,"$145,000",1.9,Waivers,26,-7,537
-1,"$4,366,667",1.3,Free Agency,33,-13,482
0, ,0.0,Traded,25,0,0
0,"$300,000",0.0,Free Agency,35,0,0
1,"$124,000",2.0,Free Agency,30,5,300
