SO,QS,L,GS,ER
0,0,0,0,14
0,0,2,0,27
0,0,4,0,17
0,0,13,30,94
0,0,10,24,58
0,0,4,0,26
0,0,3,0,22
0,0,0,0,2
0,0,2,6,46
0,0,13,34,87
1,0,9,25,63
2,0,5,34,67
1,0,7,18,61
0,0,7,11,49
0,0,10,32,68
0,0,8,25,59
0,0,0,0,21
0,0,2,0,26
0,0,4,13,48
0,0,1,0,6
0,0,1,0,6
1,0,10,32,80
0,0,1,0,23
0,0,9,31,80
0,0,0,0,0
0,0,3,21,44
0,0,3,0,23
0,0,2,0,13
0,0,0,0,0
0,0,2,1,19
1,0,5,10,35
0,0,3,0,23
0,0,0,0,5
0,0,3,15,38
0,0,2,0,12
0,0,9,31,82
0,0,9,17,60
0,0,1,3,24
0,0,0,0,5
0,0,3,0,17
0,0,2,0,14
0,0,6,0,23
0,0,11,28,79
0,0,3,0,18
0,0,2,0,19
0,0,5,0,25
0,0,1,0,24
0,0,4,0,34
0,0,0,0,0
0,0,1,3,16
0,0,1,2,14
0,0,4,10,40
0,0,0,0,8
0,0,6,8,50
0,0,6,0,19
0,0,1,5,4
1,0,10,32,98
0,0,0,0,4
0,0,11,26,57
0,0,1,0,5
0,0,4,6,25
0,0,2,0,14
0,0,3,0,26
0,0,0,0,4
0,0,0,2,1
0,0,1,0,8
0,0,2,0,17
0,0,4,0,18
0,0,0,0,8
0,0,0,0,0
0,0,0,3,10
1,0,6,23,65
0,0,11,26,82
0,0,4,0,15
0,0,1,0,8
0,0,2,10,23
0,0,0,0,9
0,0,4,0,19
0,0,0,0,4
0,0,6,7,29
0,0,0,0,8
1,0,5,14,48
1,0,7,28,54
0,0,0,0,6
0,0,0,0,16
0,0,3,0,5
0,0,5,14,53
0,0,2,4,15
0,0,12,28,114
0,0,7,9,39
0,0,0,0,10
0,0,2,0,19
0,0,3,0,16
0,0,0,0,5
0,0,1,0,21
0,0,5,7,22
0,0,1,0,13
0,0,13,32,76
0,0,0,0,4
0,0,3,0,27
0,0,2,0,13
0,0,7,0,31
0,0,1,0,2
0,0,0,0,8
0,0,3,9,24
0,0,1,0,2
0,0,6,13,37
0,0,2,0,7
0,0,0,0,15
0,0,2,4,11
0,0,8,23,88
0,0,3,8,37
2,0,11,32,73
0,0,8,0,24
0,0,0,3,9
0,0,0,0,2
0,0,4,0,21
0,0,3,0,18
0,0,1,4,32
0,0,2,8,23
0,0,0,0,3
0,0,3,0,9
1,0,13,33,106
0,0,1,0,20
0,0,6,16,48
0,0,15,28,93
0,0,9,0,27
0,0,4,11,44
0,0,17,32,100
0,0,0,1,5
0,0,0,0,2
0,0,2,0,17
0,0,1,0,9
0,0,2,0,16
0,0,0,0,5
0,0,2,0,10
0,0,2,0,25
0,0,3,0,16
0,0,6,13,65
0,0,0,0,2
1,0,10,33,77
1,0,13,29,87
2,0,9,34,91
0,0,0,1,4
0,0,3,0,18
0,0,0,0,4
0,0,2,0,16
0,0,9,21,64
0,0,2,0,24
0,0,6,12,47
0,0,4,8,28
2,0,5,33,59
0,0,0,0,5
1,0,7,30,62
1,0,5,24,40
0,0,13,33,87
0,0,3,8,25
0,0,1,0,19
0,0,1,7,11
0,0,0,0,8
0,0,1,0,10
0,0,1,3,12
0,0,1,0,5
0,0,0,4,25
0,0,7,9,33
0,0,1,0,9
0,0,0,0,7
0,0,0,0,0
0,0,1,0,13
0,0,2,0,11
1,0,13,32,98
0,0,1,1,5
0,0,0,0,17
0,0,2,0,16
0,0,2,0,10
1,0,12,31,94
0,0,3,0,4
0,0,0,2,2
0,0,13,29,90
0,0,1,0,7
0,0,3,0,21
0,0,0,0,32
0,0,14,34,108
0,0,0,0,1
1,0,7,12,64
0,0,0,0,3
0,0,0,0,0
0,0,0,0,1
0,0,10,31,73
0,0,11,32,88
0,0,1,0,12
0,0,0,0,9
0,0,6,18,57
0,0,1,0,3
0,0,0,0,8
0,0,0,0,4
0,0,0,2,4
0,0,2,0,25
0,0,4,7,31
0,0,5,0,27
0,0,4,0,18
0,0,0,0,10
0,0,6,0,24
3,0,13,32,95
0,0,0,0,2
0,0,8,25,65
0,0,10,20,44
0,0,1,0,12
4,0,12,33,78
0,0,7,23,61
0,0,1,0,8
0,0,2,4,16
0,0,4,0,20
0,0,0,0,0
0,0,0,4,5
0,0,2,0,14
0,0,0,0,14
0,0,9,16,63
0,0,0,0,2
0,0,0,0,1
0,0,0,0,7
0,0,0,0,20
0,0,3,0,29
0,0,0,0,1
0,0,3,11,28
0,0,0,0,3
1,0,14,28,94
0,0,8,28,80
1,0,12,32,112
0,0,1,0,9
1,0,10,29,62
0,0,3,0,30
0,0,0,0,2
0,0,7,22,65
0,0,0,0,0
0,0,12,32,70
0,0,3,0,21
0,0,0,0,10
0,0,0,0,2
1,0,6,23,75
0,0,0,0,22
0,0,2,0,28
0,0,1,2,6
0,0,5,0,16
0,0,0,0,0
0,0,0,3,6
0,0,2,0,3
0,0,2,9,20
0,0,0,0,6
0,0,6,0,26
0,0,1,0,3
0,0,8,0,29
0,0,1,5,19
0,0,11,31,78
0,0,0,0,6
0,0,0,0,2
0,0,0,0,2
0,0,1,0,12
0,0,2,0,18
0,0,0,0,14
0,0,1,0,11
0,0,0,0,0
0,0,8,15,56
0,0,9,31,74
0,0,6,15,47
1,0,12,33,86
0,0,6,14,41
