Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
E Zambrano,AUG,C,0.259,18,54,6,14,3,0,1,5,7,5,0,0,2,0,0,0.344,0.37,0.715
J Peley,GVL,C,0.313,13,48,6,15,4,0,0,3,3,5,2,1,0,1,1,0.37,0.396,0.766
B Massanari,ASH,C,0.328,69,259,44,85,19,0,14,43,35,64,0,0,0,2,9,0.419,0.564,0.983
J Torres,SAV,C,0.169,25,77,5,13,2,0,2,8,2,18,0,0,0,0,1,0.19,0.273,0.463
J Dalles,DEL,C,0.202,27,104,12,21,4,0,4,16,3,25,0,0,0,1,1,0.243,0.356,0.599
T Langley,LWD,C,0.22,17,50,2,11,1,0,0,7,3,11,1,0,1,1,0,0.273,0.24,0.513
F Arcia,CSC,C,0.429,3,7,1,3,1,0,0,2,2,2,0,0,0,0,0,0.556,0.571,1.127
J Navarro,AUG,C,0.083,4,12,1,1,1,0,0,1,2,4,0,0,1,0,0,0.214,0.167,0.381
M Kvasnicka,LEX,C,0.26,128,484,59,126,32,4,4,59,46,106,5,5,0,2,17,0.328,0.368,0.696
C Rupp,LWD,C,0.272,99,324,33,88,19,1,4,44,31,96,0,0,1,4,5,0.346,0.373,0.72
J Weeks,AUG,C,0.295,54,176,27,52,8,1,1,25,26,38,0,1,1,3,6,0.38,0.369,0.75
C Bethancourt,ROM,C,0.303,54,221,25,67,10,3,4,33,8,27,6,3,0,5,4,0.323,0.43,0.753
L Escobar,GVL,C,0.357,4,14,2,5,0,0,0,0,2,4,0,0,0,0,0,0.438,0.357,0.795
W Gimenez,GBO,C,0.251,72,251,33,63,13,1,3,32,9,44,0,1,0,4,5,0.284,0.347,0.63
Y Castillo,HIC,C,0.296,23,71,8,21,3,2,0,10,1,11,2,2,1,2,2,0.297,0.394,0.692
C Blair,GVL,C,0.19,33,100,12,19,8,0,3,9,14,40,0,0,0,1,3,0.287,0.36,0.647
K Dubler,KAN,C,0.251,52,175,24,44,10,2,3,15,18,34,2,1,0,1,3,0.327,0.383,0.709
K Higashioka,CSC,C,0.223,36,130,14,29,6,0,4,13,9,19,0,0,1,2,5,0.28,0.362,0.641
J Lanning,LWD,C,0.26,43,123,23,32,8,0,5,12,11,30,2,0,1,1,2,0.333,0.447,0.78
A Nieto,HAG,C,0.255,27,98,17,25,8,1,3,12,9,31,0,0,0,0,2,0.318,0.449,0.767
K Torres,HIC,C,0.5,2,8,2,4,1,0,0,0,0,2,0,0,0,0,0,0.5,0.625,1.125
C Vazquez,GVL,C,0.283,105,392,71,111,27,3,18,84,43,84,1,1,0,4,10,0.358,0.505,0.863
M Gonzalez,KAN,C,0.255,55,184,17,47,7,0,2,21,16,34,5,1,4,1,1,0.324,0.326,0.65
A Cordero,SAV,C,0.286,104,385,38,110,15,2,6,44,15,69,1,1,4,5,12,0.324,0.382,0.705
C Wallace,LEX,C,0.285,66,242,37,69,16,3,14,49,17,52,0,3,0,4,6,0.356,0.55,0.906
E Diaz,WV,C,0.221,90,326,38,72,23,3,2,45,23,69,6,1,5,2,7,0.279,0.328,0.607
M Blanke,KAN,C,0.259,47,170,22,44,13,1,2,18,11,28,0,0,1,0,3,0.311,0.382,0.694
A Dudley,GBO,C,0.277,64,213,29,59,9,0,5,26,20,54,2,2,0,1,4,0.349,0.39,0.738
J Farnham,CSC,C,0.232,42,142,16,33,8,0,2,12,14,27,2,1,1,0,3,0.31,0.331,0.641
D Freitas,HAG,C,0.288,123,427,67,123,30,0,13,73,82,87,2,1,0,1,17,0.409,0.45,0.859
J Murphy,CSC,C,0.297,63,256,31,76,23,0,6,32,19,38,2,0,0,2,7,0.343,0.457,0.8
M Ohlman,DEL,C,0.224,105,375,38,84,15,2,4,51,48,96,1,2,0,2,12,0.32,0.307,0.627
J Whitmer,ROM,C,0.273,10,33,4,9,2,0,0,2,2,10,1,0,0,0,0,0.385,0.333,0.718
D Garneau,ASH,C,0.255,100,341,71,87,29,4,17,67,58,70,7,7,1,5,3,0.37,0.513,0.883
C Maron,SAV,C,0.25,1,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0.25,0.25,0.5
J Morales,GBO,C,0.333,3,9,1,3,0,0,0,2,1,3,0,0,0,0,1,0.4,0.333,0.733
B Forsythe,SAV,C,0.235,105,370,44,87,24,4,9,43,56,123,0,1,0,6,8,0.334,0.395,0.729
D Burkhart,AUG,C,0.217,13,46,5,10,2,0,0,1,3,17,0,1,0,0,1,0.265,0.261,0.526
K Deglan,HIC,C,0.227,89,291,39,66,15,1,6,39,34,91,2,0,2,4,3,0.32,0.347,0.668
K Emsley-Pai,WV,C,0.25,64,196,30,49,11,2,0,17,46,42,3,5,4,1,8,0.398,0.327,0.725
C Leonida,HAG,C,0.24,39,129,21,31,7,1,2,16,17,45,1,0,1,2,2,0.338,0.357,0.694
R Pena,LEX,C,0.217,82,281,31,61,11,0,5,33,18,58,0,0,4,3,13,0.266,0.31,0.576
J Realmuto,GBO,C,0.287,96,348,46,100,16,3,12,49,26,78,13,6,1,0,9,0.347,0.454,0.801
R Reyes,GVL,C,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
J Arnold,AUG,C,0.213,80,268,30,57,16,0,6,23,25,80,2,0,3,1,2,0.293,0.34,0.633
C Brownsten,ROM,C,0.136,7,22,1,3,0,0,0,0,3,3,1,0,0,0,0,0.24,0.136,0.376
E Gattis,ROM,C,0.322,88,338,58,109,24,2,22,71,25,53,2,4,1,2,9,0.386,0.601,0.986
B Heath,LEX,C,0.245,51,188,19,46,11,0,5,19,11,50,0,0,0,2,9,0.291,0.383,0.674
J Oliveira,DEL,C,0.252,39,135,17,34,7,0,2,20,14,20,3,0,4,3,2,0.329,0.348,0.677
J Ramos,KAN,C,0.167,2,6,0,1,1,0,0,1,0,2,0,0,0,0,0,0.286,0.333,0.619
R Delgado,ROM,C,0.257,21,74,9,19,4,2,2,13,3,14,0,0,1,2,1,0.278,0.446,0.724
P Farrell,SAV,C,0.095,8,21,2,2,1,0,0,1,1,7,0,0,0,0,0,0.136,0.143,0.279
J Hernandez,GVL,C,0.333,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0.333,0.333,0.667
R Hornback,DEL,C,0.212,50,156,24,33,7,0,2,9,26,37,6,1,6,1,4,0.344,0.295,0.639
G Sanchez,CSC,C,0.256,82,301,49,77,16,1,17,52,36,93,2,1,0,4,9,0.335,0.485,0.82
R McCurdy,LEX,C,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
R Query,ROM,C,0.161,9,31,2,5,4,0,1,6,4,11,0,0,1,0,0,0.257,0.387,0.644
A Aguilera,ASH,C,0.182,19,55,6,10,4,0,0,5,4,16,0,0,0,0,0,0.286,0.255,0.54
