SF,Player,CS,AVG,GIDP,H,SLG
3,G Omana,0,.321,8,62,.404
0,O Cabrera,1,.158,1,12,.197
3,J Altuve,5,.343,8,70,.441
0,J Cedeno,1,.300,5,57,.468
0,J Alvarez,0,.253,1,23,.275
1,P Nunez,1,.178,4,26,.212
0,N Sosa,4,.225,2,27,.275
0,G Parra,0,--,0,0,--
0,V Sanchez,11,.325,1,51,.408
1,L Rojas,4,.180,8,31,.215
1,Y Rodriguez,8,.361,5,83,.439
0,L Hernandez,2,.224,2,33,.293
2,J Cortez,2,.246,2,41,.341
0,O Guerra,2,.188,0,19,.198
0,C Salazar,9,.268,5,49,.333
3,C Colmenares,2,.188,2,30,.194
0,A Torres,5,.234,4,34,.255
7,R Noris,2,.284,4,62,.468
1,H Armas,3,.300,3,75,.468
1,G Matheus,9,.258,6,62,.300
2,L Palacios,5,.307,7,79,.405
0,R Bonfante,4,.314,5,71,.385
3,J Guevara,3,.194,8,37,.251
1,A Rivero,3,.264,2,46,.345
1,L Castillo,5,.232,7,56,.311
0,W Perez,0,.096,0,5,.096
0,C Leal,3,.255,0,27,.349
1,J Marquez,2,.339,7,64,.466
2,L Martinez,0,.267,1,46,.366
0,L Gonzalez,1,.265,7,27,.324
0,M Alvarez,0,.000,0,0,.000
1,D Hernandez,4,.344,4,72,.459
4,O Figueroa,2,.208,3,46,.330
0,M Chacoa,3,.349,3,29,.422
0,A Diaz,0,.000,1,0,.000
0,A Chourio,16,.319,2,73,.393
1,R Torrealba,0,.182,0,12,.227
1,D Bravo,5,.276,1,37,.358
0,H Lara,4,.300,3,72,.354
2,R Alvarez,1,.206,4,20,.309
2,R Tello,1,.294,4,48,.509
2,J Guerra,1,.300,6,36,.450
0,A Espinoza,0,.268,2,37,.587
2,J Gonzalez,2,.274,9,46,.298
1,A Nieves,1,.409,0,9,.864
2,J Rodriguez,0,.348,6,39,.366
0,Y Lopez,0,.194,1,7,.417
0,E Alvarez,1,.259,0,7,.333
3,B Doi,2,.248,1,35,.383
3,N Moreno,4,.237,2,47,.303
1,I Alvarez,8,.323,4,65,.453
1,J Valdes,0,.269,1,14,.346
6,T Serrano,8,.239,2,53,.297
4,L Salas,5,.272,7,66,.370
0,L Alvarez,1,.241,1,27,.330
2,R Torrealba,8,.178,8,36,.193
2,R Tejada,5,.364,1,44,.479
1,C Del Rio,1,.287,3,27,.489
0,J Lozada,0,.138,2,4,.138
1,J Agudelo,6,.231,3,37,.288
0,W De Los Santos,1,.217,2,40,.272
1,I Espinoza,5,.280,3,40,.357
