U.S.,Waist (in),Waist (cm),U.K.,EU,France,Germany,Japan,China,Korea,Canada,Mexico
XS,26,66,66,66,30,38,66,-,66,38,26
XS,28,71,71,71,32,40,71,-,71,40,28
S,29,74,74,74,34,42,74,170/76A,74,42,29
S,30,76,76,76,36,43,76,170/76A,76,43,30
S,31,79,79,79,36,44,79,170/76A,79,44,31
M,32,81,81,81,38,46,81,170/80A,81,46,32
M,33,84,84,84,40,48,84,175/84A,84,48,33
M,34,86,86,86,42,50,86,180/88A,86,50,34
L,36,91,92,92,44,52,92,180/92A,92,52,36
L,38,97,97,97,46,54,97,185/96A,97,54,38
XL,40,102,102,102,48,56,102,185/100A,102,56,40
XL,42,107,107,107,50,58,107,-,107,58,42
XXL,44,112,112,112,52,60,112,-,112,60,44
XXL,48,117,117,117,54,62,117,-,117,62,46
