Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Shane Victorino,Paw,1,4,1,2,0,0,1,1,0,0,0,1,0.5,0.5,1.25,1.75
Mike Miller,Gre,15,45,8,16,6,0,0,2,3,1,5,5,0.356,0.442,0.489,0.931
Alex Hassan,PawGre,63,210,30,71,16,0,4,35,0,1,46,52,0.338,0.457,0.471,0.929
Mookie Betts,SalGre,127,462,93,145,36,4,15,65,38,4,81,57,0.314,0.417,0.506,0.923
Garin Cecchini,PorSal,129,454,80,146,33,7,7,61,23,10,94,86,0.322,0.443,0.471,0.915
Stefan Welch,Sal,75,267,48,78,19,0,10,46,3,2,45,65,0.292,0.409,0.476,0.885
Mitch Maier,Paw,31,113,32,35,7,0,3,22,3,1,24,26,0.31,0.431,0.451,0.882
Xander Bogaerts,PawPor,116,444,72,132,23,6,15,67,7,4,63,95,0.297,0.388,0.477,0.865
Jackie Bradley Jr.,Paw,80,320,57,88,26,3,10,35,7,9,41,75,0.275,0.374,0.469,0.842
Dan Butler,Paw,84,282,32,74,19,0,14,45,1,1,34,59,0.262,0.35,0.479,0.829
Carson Blair,SalLow,44,132,22,33,10,2,4,14,2,1,27,41,0.25,0.379,0.447,0.826
Sean Coyle,3 Teams,60,240,48,58,12,1,16,35,12,2,30,80,0.242,0.326,0.5,0.826
Mark Hamilton,PawGCL,89,306,49,81,23,0,12,60,1,0,49,97,0.265,0.365,0.458,0.822
David Chester,SalGre,123,432,50,117,27,0,19,85,3,0,52,111,0.271,0.354,0.465,0.819
Bryce Brentz,PawGCL,88,343,39,90,18,1,19,64,1,0,21,90,0.262,0.313,0.487,0.799
Blake Swihart,Sal,103,376,45,112,29,7,2,42,7,7,41,63,0.298,0.366,0.428,0.794
Will Middlebrooks,Paw,45,179,25,48,5,0,10,35,1,0,16,38,0.268,0.327,0.464,0.79
Brandon Snyder,Paw,68,249,37,65,16,1,10,37,3,1,20,69,0.261,0.332,0.454,0.786
Brandon Jacobs,PorSal,84,299,46,74,25,1,11,44,10,4,33,90,0.247,0.335,0.448,0.783
Drew Turocy,Gre,72,279,33,83,25,5,0,20,6,2,19,67,0.297,0.347,0.423,0.77
J.C. Linares,PawPor,95,346,50,92,27,2,8,52,0,0,31,84,0.266,0.344,0.425,0.768
Christian Vazquez,PawPor,97,345,48,99,19,1,5,48,7,4,48,44,0.287,0.375,0.391,0.766
Michael Almanzar,Por,131,507,67,136,29,3,16,81,13,2,42,100,0.268,0.328,0.432,0.76
Matthew Gedman,Sal,65,229,30,64,12,0,7,31,6,0,19,33,0.279,0.336,0.424,0.76
Bryan Hudson,GCL,43,135,18,41,6,0,0,15,6,1,23,39,0.304,0.406,0.348,0.754
