Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Roberto Duncan,DSL,55,15,13,5,0,0,5,3,1,12,18,0.236,0.408,0.327,0.736
Robert Del Rosario,DSL,94,16,29,4,3,2,26,12,2,9,21,0.309,0.371,0.479,0.85
Aneudis Peralta,DSL,65,13,16,4,1,0,6,1,1,8,10,0.246,0.355,0.338,0.694
Anthony Amaya,DSL,59,5,11,4,0,1,11,2,3,4,11,0.186,0.284,0.305,0.589
Alixon Suarez,DSL,83,11,20,3,2,1,10,1,1,12,15,0.241,0.356,0.361,0.718
Manuel Margot,DSL,104,20,31,2,4,1,19,20,6,10,7,0.298,0.374,0.423,0.797
Andres Garcia,DSL,109,22,31,2,2,0,10,12,5,17,15,0.284,0.383,0.339,0.723
Raymel Flores,DSL,62,16,20,1,6,0,5,3,1,7,16,0.323,0.432,0.532,0.965
Ricardo Andujar,DSL,44,6,10,1,2,0,2,2,3,11,10,0.227,0.393,0.341,0.734
Kevin Segovia,DSL,10,3,2,1,0,0,2,0,0,2,5,0.2,0.385,0.3,0.685
Osvaldo Almengo,DSL,24,6,5,1,1,0,4,0,0,3,6,0.208,0.333,0.333,0.667
Pablo Urena,DSL,35,1,5,1,0,0,0,0,1,0,13,0.143,0.231,0.171,0.402
Luis Valenzuela,DSL,11,1,2,0,1,0,3,0,0,2,2,0.182,0.308,0.364,0.671
Gregori Titts,DSL,19,3,4,0,0,0,0,1,0,3,3,0.211,0.348,0.211,0.558
Junior Estrella,DSL,14,1,2,0,0,0,0,0,1,3,5,0.143,0.294,0.143,0.437
Diory Paulino,DSL,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
