rbi,3b,gdp,hbp,k,avg,po,e,ab,bb
4,0,0,1,6,0.364,21,0,27,0
12,0,0,0,3,0.301,21,3,31,4
0,0,0,0,8,0.286,21,3,23,3
4,0,0,0,8,0.288,33,1,39,11
1,0,0,0,14,0.276,29,1,35,1
1,0,0,0,11,0.379,21,0,28,1
1,0,0,0,8,0.296,18,1,27,1
11,1,0,0,7,0.309,21,1,37,0
9,0,0,0,3,0.303,21,0,32,6
3,0,0,0,2,0.277,18,1,29,2
2,1,1,0,7,0.309,24,0,28,3
245,11,3,19,296,0.276,1169,62,1567,146
6,0,0,0,2,0.295,21,3,32,1
2,0,1,0,3,0.291,21,1,27,2
11,0,0,0,1,0.432,21,2,31,4
2,1,0,0,3,0.293,30,0,39,3
9,1,1,0,2,0.293,24,2,33,4
3,0,0,1,7,0.299,21,1,22,3
1,0,0,0,4,0.288,21,1,23,0
3,0,0,1,10,0.278,21,0,24,3
9,0,0,0,3,0.292,21,0,31,2
8,0,0,1,7,0.29,21,1,31,4
5,0,0,2,1,0.286,21,1,21,0
13,0,0,1,2,0.5,18,2,32,4
6,0,0,0,10,0.293,21,3,33,1
0,0,0,0,7,0.287,21,1,23,4
6,0,0,0,7,0.298,24,2,36,0
0,0,0,0,9,0.327,21,1,22,2
7,0,0,0,6,0.293,21,1,28,3
6,0,0,2,7,0.313,21,1,30,2
8,2,0,0,5,0.291,15,1,30,3
2,0,0,0,3,0.276,21,4,27,2
6,0,0,3,4,0.308,21,0,27,3
