OBP,R,3B,Player,OPS,H,SF,SLG,Team,CS
.000,0,0,R Kelly,0.0,0,0,.000,SA,0
.000,0,0,C Hynes,0.0,0,0,.000,SA,0
.250,13,0,A McClure,0.506,35,3,.256,NWA,3
.313,15,0,C Walsh,0.627,26,0,.314,SPR,0
--,0,0,T Tufts,0.0,0,0,--,FRI,0
.273,21,0,V Catricala,0.584,51,4,.312,MID,1
.333,8,0,J Miller,0.528,8,1,.195,SA,2
.269,2,0,L Alvarez,0.686,6,1,.417,CC,1
.347,36,1,P Tucker,0.803,62,0,.456,CC,1
.308,0,0,T Matzek,0.641,3,0,.333,TUL,0
.167,0,0,D Houston,0.167,0,0,.000,TUL,0
.182,0,0,J Castillo,0.455,2,0,.273,SPR,0
.333,1,0,E Bonine,0.333,0,0,.000,SA,0
.263,15,0,Z Zaneski,0.575,31,0,.313,FRI,1
.318,61,0,J Meyer,0.721,126,7,.403,CC,3
.500,7,0,J Martinez,0.985,15,0,.485,CC,1
.000,0,0,M Del Castillo,0.0,0,0,.000,SA,0
.280,8,1,C Bisson,0.55,17,0,.270,SA,2
.000,0,0,D Winkler,0.0,0,0,.000,TUL,0
.285,15,0,R Gale,0.57,51,2,.285,SA,4
.295,53,1,J Blackwood,0.653,124,2,.358,SA,2
.322,9,0,R Torrez,0.735,19,0,.413,CC,2
.429,1,0,C Burke,0.829,1,0,.400,SA,0
.000,0,0,L Gomez,0.0,0,0,.000,TUL,0
.314,44,5,D Muren,0.658,67,1,.344,CC,3
.067,1,0,R Valenzuela,0.067,0,0,.000,CC,0
.285,34,0,D Freitas,0.646,48,0,.362,MID,0
.571,2,0,L Berkman,0.821,1,0,.250,FRI,0
.324,18,0,Z Johnson,0.698,31,0,.374,CC,1
.182,1,0,D Perales,0.304,5,0,.122,ARK,0
.306,18,0,A Kirby-Jones,0.693,40,1,.387,SA,2
.304,26,1,J Wong,0.634,67,1,.330,TUL,4
.278,31,0,M Burgess,0.656,65,2,.378,CC,1
.396,5,1,J Singleton,0.922,10,1,.526,CC,0
.310,61,4,R Navarro,0.738,126,7,.428,NWA,6
