TEAM,oppAVG,SLG,AGE,PA,LG,AVG,#
MIL,0.248,0.395,29,512,NL,0.229,179.0
NYA,0.259,0.445,32,908,AL,0.272,149.0
DET,0.25,0.395,24,736,AL,0.27,120.0
ARI,0.25,0.346,27,384,NL,0.232,160.0
CIN,0.244,0.368,23,420,NL,0.196,14.0
BOS,0.256,0.389,29,903,AL,0.253,37.0
WAS,0.247,0.307,24,730,NL,0.207,106.0
SLN,0.25,0.356,31,956,NL,0.248,131.0
BOS,0.257,0.391,25,705,AL,0.261,9.0
NYN,0.253,0.423,27,841,NL,0.268,144.0
ANA,0.252,0.547,32,611,AL,0.317,28.0
ANA,0.252,0.361,32,913,AL,0.246,29.0
TEX,0.25,0.516,24,406,AL,0.314,98.0
MIN,0.258,0.462,32,792,AL,0.297,26.0
ARI,0.253,0.494,23,473,NL,0.264,68.0
TOR,0.254,0.451,28,324,AL,0.239,21.0
CHN,0.255,0.351,26,821,NL,0.222,66.0
HOU,0.261,0.415,28,541,AL,0.277,110.0
BOS,0.258,0.413,34,777,AL,0.247,151.0
LAN,0.262,0.273,25,292,NL,0.177,51.0
BAL,0.254,0.466,30,611,AL,0.284,25.0
KCA,0.26,0.455,29,419,AL,0.289,12.0
CLE,0.257,0.312,28,803,AL,0.222,17.0
BAL,0.256,0.357,26,336,AL,0.223,85.0
COL,0.251,0.367,23,476,NL,0.278,142.0
PIT,0.247,0.344,29,493,NL,0.261,64.0
MIL,0.252,0.291,28,305,NL,0.234,177.0
LAN,0.256,0.366,30,366,NL,0.247,112.0
TEX,0.259,0.366,29,428,AL,0.231,15.0
TEX,0.256,0.399,26,894,AL,0.259,105.0
SDN,0.253,0.426,34,518,NL,0.257,104.0
MIA,0.256,0.363,23,451,NL,0.249,171.0
ANA,0.258,0.377,25,620,AL,0.269,84.0
TOR,0.258,0.422,38,943,AL,0.242,33.0
CHN,0.249,0.436,29,777,NL,0.281,181.0
CHA,0.249,0.439,32,324,AL,0.244,154.0
SLN,0.249,0.371,22,722,NL,0.234,71.0
ATL,0.248,0.382,25,820,NL,0.232,162.0
SEA,0.255,0.486,35,526,AL,0.274,150.0
NYA,0.256,0.411,41,784,AL,0.275,45.0
TBA,0.262,0.353,25,578,AL,0.228,49.0
SFN,0.251,0.389,28,760,NL,0.228,132.0
SFN,0.251,0.477,35,467,NL,0.299,119.0
SDN,0.25,0.421,33,857,NL,0.274,167.0
CHA,0.249,0.351,27,315,AL,0.247,50.0
KCA,0.256,0.447,27,618,AL,0.307,4.0
OAK,0.256,0.437,26,667,AL,0.258,169.0
MIA,0.248,0.421,27,601,NL,0.261,168.0
BAL,0.26,0.427,25,845,AL,0.241,54.0
OAK,0.255,0.358,24,640,AL,0.233,124.0
TEX,0.26,0.436,29,359,AL,0.271,19.0
COL,0.252,0.349,27,335,NL,0.25,147.0
MIA,0.245,0.481,29,395,NL,0.291,127.0
COL,0.246,0.384,32,714,NL,0.269,73.0
COL,0.25,0.375,25,816,NL,0.253,128.0
TEX,0.253,0.427,24,407,AL,0.272,97.0
NYN,0.249,0.442,27,556,NL,0.26,129.0
BAL,0.255,0.44,27,572,AL,0.272,83.0
ANA,0.255,0.442,31,728,AL,0.272,32.0
SLN,0.248,0.375,26,856,NL,0.252,109.0
PHI,0.248,0.427,22,437,NL,0.284,143.0
PIT,0.25,0.35,25,711,NL,0.242,88.0
HOU,0.257,0.455,25,365,AL,0.241,72.0
ANA,0.256,0.382,30,634,AL,0.237,20.0
LAN,0.249,0.45,34,457,NL,0.295,79.0
ANA,0.252,0.426,30,644,AL,0.276,24.0
DET,0.253,0.336,24,303,AL,0.219,173.0
MIN,0.26,0.431,29,680,AL,0.3,18.0
DET,0.251,0.376,30,925,AL,0.253,23.0
MIA,0.25,0.339,23,418,NL,0.237,159.0
CIN,0.252,0.369,27,849,NL,0.234,61.0
TEX,0.256,0.407,22,529,AL,0.267,53.0
PIT,0.255,0.336,22,469,NL,0.253,130.0
PIT,0.255,0.314,29,666,NL,0.224,46.0
WAS,0.253,0.454,32,717,NL,0.268,101.0
TOR,0.262,0.488,29,384,AL,0.305,38.0
SEA,0.257,0.371,32,866,AL,0.22,34.0
COL,0.25,0.445,26,703,NL,0.268,140.0
DET,0.253,0.381,29,881,AL,0.281,47.0
ARI,0.254,0.432,29,577,NL,0.296,75.0
