Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Adrian Gonzalez,Bos,159,630,108,213,45,3,27,117,1,0,74,119,0.338,0.41,0.548,0.957
David Ortiz,Bos,145,525,84,162,40,1,29,95,1,1,78,83,0.309,0.398,0.554,0.953
Jacoby Ellsbury,Bos,158,660,119,212,46,5,32,105,38,14,52,98,0.321,0.376,0.552,0.928
Dustin Pedroia,Bos,159,635,101,195,37,3,21,89,26,6,86,85,0.307,0.387,0.474,0.861
Kevin Youkilis,Bos,120,431,68,111,32,2,17,80,3,0,68,100,0.258,0.373,0.459,0.833
Drew Sutton,Bos,31,54,11,17,7,0,0,7,0,0,3,13,0.315,0.362,0.444,0.807
Josh Reddick,Bos,87,254,41,71,18,3,7,28,1,2,19,50,0.28,0.327,0.457,0.784
Marco Scutaro,Bos,113,395,58,118,26,1,7,54,4,2,38,36,0.299,0.358,0.423,0.781
Mike Aviles,Bos,38,101,15,32,6,0,2,8,3,0,4,17,0.317,0.34,0.436,0.775
Jarrod Saltalamacchia,Bos,103,358,52,84,23,3,16,56,1,0,24,119,0.235,0.288,0.45,0.737
Jason Varitek,Bos,68,222,32,49,10,1,11,36,0,0,21,67,0.221,0.3,0.423,0.723
Darnell McDonald,Bos,79,157,26,37,6,1,6,24,2,3,14,33,0.236,0.303,0.401,0.704
Carl Crawford,Bos,130,506,65,129,29,7,11,56,18,6,23,104,0.255,0.289,0.405,0.694
Jed Lowrie,Bos,88,309,40,78,14,4,6,36,1,1,23,60,0.252,0.303,0.382,0.685
J.D. Drew,Bos,81,248,23,55,6,1,4,22,0,1,33,58,0.222,0.315,0.302,0.617
Mike Cameron,Bos,33,94,9,14,2,0,3,9,0,0,8,25,0.149,0.212,0.266,0.477
