Opp,STL%,G,USG%,TOV%,BLK%,Rk,Tm
WSB,0.0,7,18.2,12.7,0.0,7,SAS
DEN,0.0,27,14.9,25.0,0.0,27,SAS
DAL,0.0,37,35.8,0.0,0.0,37,SAS
DAL,0.0,57,8.2,50.0,0.0,57,UTA
GSW,2.3,33,13.8,29.1,0.0,33,SAS
DAL,1.6,4,16.6,32.5,2.3,4,SAS
SAC,3.9,49,6.5,50.0,0.0,49,UTA
CHI,0.0,19,8.3,29.1,3.2,19,SAS
DAL,0.0,18,13.7,26.2,2.6,18,SAS
DET,0.0,23,13.0,0.0,0.0,23,SAS
PHO,4.4,34,20.2,27.3,5.5,34,SAS
NYK,2.6,36,14.7,15.8,0.0,36,SAS
GSW,0.0,20,27.3,31.6,0.0,20,SAS
LAC,0.0,63,4.3,0.0,0.0,63,UTA
POR,0.0,65,27.9,11.4,0.0,65,UTA
POR,2.2,16,19.0,30.0,0.0,16,SAS
SAC,3.8,67,19.4,17.0,0.0,67,UTA
LAC,2.7,15,16.0,31.1,5.8,15,SAS
IND,0.0,47,11.1,17.4,0.0,47,UTA
HOU,0.0,42,14.7,18.4,3.9,42,SAS
POR,0.0,52,12.1,34.2,1.9,52,UTA
SAS,0.0,54,12.1,0.0,0.0,54,UTA
HOU,0.0,46,0.0, ,0.0,46,UTA
LAC,0.0,64,20.3,0.0,0.0,64,UTA
PHO,0.0,58,12.5,33.3,0.0,58,UTA
LAC,0.0,26,4.6,100.0,0.0,26,SAS
HOU,0.0,35,0.0, ,0.0,35,SAS
PHO,0.0,11,12.4,50.0,0.0,11,SAS
SAC,0.0,31,7.1,0.0,0.0,31,SAS
SEA,2.2,17,12.0,16.7,0.0,17,SAS
GSW,0.0,53,19.7,0.0,0.0,53,UTA
CHI,0.0,21,18.0,25.0,0.0,21,SAS
WSB,0.0,14,13.6,27.6,0.0,14,SAS
HOU,2.0,5,19.2,25.0,2.2,5,SAS
GSW,0.0,32,17.0,66.7,0.0,32,SAS
LAL,6.3,1,16.8,12.7,0.0,1,SAS
SEA,0.0,59,13.0,0.0,0.0,59,UTA
LAL,0.0,28,10.6,0.0,0.0,28,SAS
DEN,3.4,29,8.4,0.0,3.8,29,SAS
LAL,1.9,50,9.9,17.0,0.0,50,UTA
