GS,BLK%,DRtg,ORB%,TS%,AST%,STL%,G,Date
0,0.0,95,0.0,.410,0.0,6.5,26,1995-12-27
0,0.0,116,7.9,.615,13.4,0.0,60,1996-03-21
0,0.0,123,13.8,.515,0.0,0.0,11,1995-11-24
0,0.0,101,11.5,.525,0.0,4.5,1,1995-11-03
0,0.0,140,4.9,.667,14.0,2.3,30,1996-01-04
0,0.0,103,11.5,.340,0.0,0.0,15,1995-12-04
0,0.0,115,4.3,.818,8.0,2.0,2,1995-11-04
0,0.0,135,8.5,.529,9.5,0.0,50,1996-02-29
0,0.0,111,0.0,.667,0.0,0.0,56,1996-03-10
0,0.0,86,5.7,.740,7.4,2.3,48,1996-02-24
0,0.0,113,30.9,.750,0.0,0.0,54,1996-03-07
0,0.0,113,18.6,1.000,0.0,0.0,9,1995-11-18
0,0.0,117,6.4,.868,26.0,2.8,43,1996-02-13
0,0.0,113,6.5,.500,9.0,0.0,14,1995-12-02
0,0.0,110,15.6,.000,0.0,0.0,10,1995-11-21
0,2.6,106,11.8,.347,0.0,2.1,25,1995-12-26
0,0.0,120,0.0,.000,0.0,0.0,59,1996-03-17
0,0.0,110,4.0,.580,0.0,0.0,18,1995-12-11
0,2.5,114,4.7,.595,5.2,1.9,28,1995-12-30
0,3.3,98,5.1,.667,0.0,2.6,44,1996-02-15
0,0.0,112,9.3,.872,0.0,2.6,52,1996-03-04
0,0.0,118,30.8,.500,0.0,0.0,39,1996-01-25
0,0.0,108,13.3,.174,0.0,0.0,35,1996-01-16
0,0.0,98,6.9,.676,8.6,0.0,57,1996-03-12
0,0.0,103,9.9,.266,0.0,5.0,29,1996-01-02
0,0.0,127,18.4,.250,0.0,0.0,5,1995-11-10
1,0.0,90,0.0, ,0.0,0.0,21,1995-12-16
0,0.0,95,23.2,.742,5.0,1.6,46,1996-02-18
0,0.0,122,16.0,.461,0.0,2.9,69,1996-04-18
0,0.0,87,16.2,.735,8.4,0.0,51,1996-03-02
0,0.0,98,31.6,.727,11.1,4.3,42,1996-02-08
0,5.5,100,7.5,.307,8.1,3.4,61,1996-03-22
0,0.0,132,7.9,.525,0.0,0.0,4,1995-11-08
0,0.0,130,0.0, ,0.0,0.0,37,1996-01-20
1,2.3,97,4.6,.685,0.0,1.6,67,1996-04-14
0,0.0,121,4.7,.658,0.0,0.0,66,1996-04-11
0,7.2,99,8.9,.500,0.0,0.0,13,1995-11-28
0,0.0,114,0.0,.450,0.0,0.0,3,1995-11-07
0,0.0,137,0.0,1.000,0.0,0.0,16,1995-12-07
0,20.0,119,0.0, ,0.0,0.0,36,1996-01-17
0,0.0,119,4.3,.694,0.0,0.0,24,1995-12-23
0,0.0,99,0.0, ,0.0,0.0,62,1996-03-24
